root_norm	stem	form_tag	frame_signature	instance_count	sample_refs	object_status_profile	prep_profile	object_root_profile	prep_object_root_profile	surah_count
r-m-y	رمي	IV	obj=clitic|prep=بـ|clause=no|cognate=no	1	105:4:1	clitic:1	بـ:1		ح ج ر:1	1
r-m-y	رمي	IV	obj=none_absolute|prep=بـ|clause=no|cognate=no	1	77:32:2	none_absolute:1	بـ:1		ش ر ر:1	1
r-m-y	رمي	PV	obj=none_absolute|prep=-|clause=no|cognate=no	2	8:17:10;8:17:12	none_absolute:2				1
أ ب ق	أبق	PV	obj=none_intransitive|prep=إِلَى|clause=no|cognate=no	1	37:140:2	none_intransitive:1	إِلَى:1		ف ل ك:1	1
أ ب و	أب	IV	obj=clausal|prep=-|clause=yes|cognate=no	1	2:282:23	clausal:1				1
أ ب و	أب	IV	obj=none_absolute|prep=-|clause=no|cognate=no	1	2:282:98	none_absolute:1				1
أ ب و	أب	PV	obj=clausal|prep=-|clause=yes|cognate=no	1	18:77:11	clausal:1				1
أ ب و	أبي	PV	obj=clausal|prep=-|clause=yes|cognate=no	1	33:72:11	clausal:1				1
أ ب ي	أبى	IV	obj=clausal|prep=-|clause=yes|cognate=no	1	9:32:9	clausal:1				1
أ ب ي	أبى	IV	obj=none_intransitive|prep=-|clause=no|cognate=no	1	9:8:17	none_intransitive:1				1
أ ب ي	أبى	PV	obj=clausal|prep=-|clause=yes|cognate=no	1	15:31:3	clausal:1				1
أ ب ي	أبى	PV	obj=explicit|prep=-|clause=no|cognate=no	3	17:89:14;17:99:25;25:50:9	explicit:3		ك ف ر:3		2
أ ب ي	أبى	PV	obj=none_absolute|prep=-|clause=no|cognate=no	3	2:34:13;20:56:10;20:116:13	none_absolute:3				2
أ ت ي	آت	CV	obj=both|prep=-|clause=no|cognate=no	15	2:201:6;3:194:3;4:2:2;4:4:2;4:24:31;4:33:16;7:38:33;17:26:2;18:62:7;18:96:1	both:15		ح س ن:2;أ ج ر:2;ذ و و:2;ح ق ق:2;ي ت م:1;م و ل:1;ن س و:1;ص د ق:1;ن ص ب:1;ع ذ ب:1		10
أ ت ي	آت	CV	obj=both|prep=بـ|clause=no|cognate=no	1	4:25:33	both:1	بـ:1	أ ج ر:1	ع ر ف:1	1
أ ت ي	آت	CV	obj=both|prep=مِن|clause=no|cognate=no	1	18:10:9	both:1	مِن:1	ر ح م:1	ل د ن:1	1
أ ت ي	آت	CV	obj=clitic|prep=-|clause=no|cognate=no	1	18:96:16	clitic:1				1
أ ت ي	آت	CV	obj=clitic|prep=فِي|clause=no|cognate=no	1	2:200:20	clitic:1	فِي:1		د ن و:1	1
أ ت ي	آت	CV	obj=clitic|prep=مِن|clause=no|cognate=no	1	24:33:27	clitic:1	مِن:1		م و ل:1	1
أ ت ي	آت	CV	obj=explicit|prep=-|clause=no|cognate=no	13	2:43:5;2:83:31;2:110:5;2:277:11;4:77:14;6:141:30;9:5:28;9:11:8;22:41:9;22:78:42	explicit:13		ز ك و:12;ح ق ق:1		8
أ ت ي	آت	PV	obj=both|prep=-|clause=no|cognate=no	2	12:31:14;12:66:20	both:2		ك ل ل:1;س ك ن:1;و ث ق:1		1
أ ت ي	آت	PV	obj=clitic|prep=-|clause=no|cognate=no	1	33:14:11	clitic:1				1
أ ت ي	آت	PV	obj=explicit|prep=-|clause=no|cognate=no	3	2:265:21;18:33:3;23:60:5	explicit:3		أ ك ل:2		3
أ ت ي	آتا	PV	obj=both|prep=-|clause=no|cognate=no	16	2:251:11;2:258:10;3:148:2;5:20:21;6:165:17;7:190:3;7:190:9;9:59:6;19:30:5;47:17:7	both:16		م ل ك:2;ث و ب:1;ح س ن:1;ص ل ح:1;ك ت ب:1;و ق ي:1		13
أ ت ي	آتا	PV	obj=both|prep=مِن|clause=no|cognate=no	5	3:170:4;3:180:8;4:54:6;11:28:12;11:63:12	both:5	مِن:5	ر ح م:2	ف ض ل:3;ع ن د:1	3
أ ت ي	آتا	PV	obj=clitic|prep=-|clause=no|cognate=no	5	5:48:46;24:33:32;27:36:11;27:36:15;28:77:4	clitic:5				4
أ ت ي	آتا	PV	obj=clitic|prep=مِن|clause=no|cognate=no	4	4:37:11;9:75:8;9:76:3;14:34:2	clitic:4	مِن:4		ف ض ل:3;ك ل ل:1	3
أ ت ي	آتى	PV	obj=both|prep=عَلَى;فِي|clause=no|cognate=no	1	2:177:27	both:1	عَلَى:1;فِي:1	م و ل:1;ذ و و:1	ح ب ب:1;ر ق ب:1	1
أ ت ي	آتى	PV	obj=explicit|prep=-|clause=no|cognate=no	2	2:177:49;9:18:16	explicit:2		ز ك و:2		2
أ ت ي	آتي	CV	obj=explicit|prep=-|clause=no|cognate=no	1	33:33:15	explicit:1		ز ك و:1		1
أ ت ي	آتي	PV	obj=both|prep=-|clause=no|cognate=no	57	2:53:3;2:63:11;2:87:4;2:87:14;2:93:11;2:121:2;2:146:2;2:211:5;2:253:16;4:19:20	both:57		ك ت ب:18;ح ك م:7;ع ل م:5;ب ي ن:3;د و د:3;ف ر ق:2;ع ي س:2;ز ب ر:2;أ ج ر:2;ن ج ل:2		31
أ ت ي	آتي	PV	obj=both|prep=-|clause=yes|cognate=no	1	17:2:2	both:1		ك ت ب:1		1
أ ت ي	آتي	PV	obj=both|prep=عَلَى|clause=no|cognate=no	1	6:83:4	both:1	عَلَى:1	ب ر ه م:1	ق و م:1	1
أ ت ي	آتي	PV	obj=both|prep=فِي|clause=no|cognate=no	3	10:88:6;16:122:2;29:27:15	both:3	فِي:3	ف ر ع ن:1;م ل أ:1;ز ي ن:1;م و ل:1;ح س ن:1;أ ج ر:1	د ن و:2;ح ي ي:1	3
أ ت ي	آتي	PV	obj=both|prep=مِن|clause=no|cognate=no	10	4:67:4;18:84:7;20:99:12;21:51:4;28:43:4;28:76:11;34:10:4;34:44:3;43:21:2;44:33:2	both:10	مِن:10	ك ت ب:3;أ ج ر:1;س ب ب:1;ذ ك ر:1;ب ر ه م:1;ر ش د:1;د و د:1;ف ض ل:1	ل د ن:2;ق ب ل:2;ك ل ل:1;ب ع د:1;ك ن ز:1;ك ت ب:1;أ ي ي:1	8
أ ت ي	آتي	PV	obj=clitic|prep=-|clause=no|cognate=no	3	2:229:18;7:144:16;30:34:5	clitic:3				3
أ ت ي	آتي	PV	obj=clitic|prep=مِن;بـ|clause=no|cognate=no	1	27:7:9	clitic:1	مِن:1;بـ:1		خ ب ر:1	1
أ ت ي	آتي	PV	obj=clitic|prep=مِن|clause=no|cognate=no	2	3:81:8;12:101:3	clitic:2	مِن:2		ك ت ب:1;م ل ك:1	2
أ ت ي	آتي	PV	obj=explicit|prep=-|clause=no|cognate=no	7	2:233:69;4:54:12;4:153:40;5:12:25;6:154:2;33:50:9;57:27:41	explicit:7		ك ت ب:2;أ ج ر:2;أ و ل:1;ح ك م:1;س ل ط:1;ز ك و:1;ل ل ذ:1		6
أ ت ي	آتي	PV	obj=explicit|prep=مِن|clause=no|cognate=no	2	30:39:3;30:39:18	explicit:2	مِن:2		ر ب و:1;ز ك و:1	1
أ ت ي	أت	CV	obj=clitic|prep=-|clause=no|cognate=no	1	27:31:5	clitic:1				1
أ ت ي	أت	CV	obj=clitic|prep=بـ|clause=no|cognate=no	5	7:70:14;11:32:10;12:93:13;14:10:35;46:22:8	clitic:5	بـ:5		أ ه ل:1;س ل ط:1	5
أ ت ي	أت	CV	obj=clitic|prep=مِن|clause=no|cognate=no	1	2:222:22	clitic:1	مِن:1		ح ي ث:1	1
أ ت ي	أت	CV	obj=explicit|prep=-|clause=no|cognate=no	1	2:223:5	explicit:1		ح ر ث:1		1
أ ت ي	أت	CV	obj=none_absolute|prep=بـ|clause=no|cognate=no	7	2:23:11;3:93:21;10:38:6;11:13:6;26:31:3;26:154:7;28:49:3	none_absolute:7	بـ:7		س و ر:2;و ر ي:1;ع ش ر:1;أ ي ي:1;ك ت ب:1	6
أ ت ي	أت	CV	obj=none_intransitive|prep=بـ;عَلَى|clause=no|cognate=no	1	21:61:3	none_intransitive:1	بـ:1;عَلَى:1		ع ي ن:1	1
أ ت ي	أت	CV	obj=none_intransitive|prep=بـ;مِن|clause=no|cognate=no	1	2:258:37	none_intransitive:1	بـ:1;مِن:1		غ ر ب:1	1
أ ت ي	أت	CV	obj=none_intransitive|prep=بـ|clause=no|cognate=no	3	7:106:8;37:157:2;44:36:2	none_intransitive:3	بـ:3		ك ت ب:1;أ ب و:1	3
أ ت ي	أت	IV	obj=clitic|prep=-|clause=no|cognate=no	15	2:85:20;2:214:8;5:41:31;7:169:18;9:70:2;10:39:11;14:9:2;19:38:7;19:43:10;20:75:3	clitic:15				12
أ ت ي	أت	IV	obj=clitic|prep=بـ;مِن|clause=no|cognate=no	1	7:132:4	clitic:1	بـ:1;مِن:1		أ ي ي:1	1
أ ت ي	أت	IV	obj=clitic|prep=بـ|clause=no|cognate=no	8	7:112:1;7:203:4;12:60:4;12:66:11;18:19:40;21:5:12;25:33:3;26:37:1	clitic:8	بـ:8		ك ل ل:2;أ ي ي:2;ر ز ق:1;م ث ل:1	6
أ ت ي	أت	IV	obj=clitic|prep=عَلَى|clause=no|cognate=no	1	22:27:7	clitic:1	عَلَى:1		ك ل ل:1	1
أ ت ي	أت	IV	obj=clitic|prep=عَن|clause=no|cognate=no	1	37:28:4	clitic:1	عَن:1		ي م ن:1	1
أ ت ي	أت	IV	obj=clitic|prep=مِن|clause=no|cognate=no	2	3:125:7;6:130:7	clitic:2	مِن:2		ف و ر:1	2
أ ت ي	أت	IV	obj=explicit|prep=-|clause=no|cognate=no	11	7:80:7;9:54:18;20:74:3;21:3:14;23:68:9;26:165:1;27:54:7;27:55:3;29:28:9;29:29:3	explicit:11		ف ح ش:3;ر ج ل:2;ص ل و:1;ر ب ب:1;س ح ر:1;أ ب و:1;ذ ك ر:1;ب أ س:1		9
أ ت ي	أت	IV	obj=explicit|prep=فِي|clause=no|cognate=no	1	29:29:9	explicit:1	فِي:1	ن ك ر:1	ن د ي:1	1
أ ت ي	أت	IV	obj=explicit|prep=مِن|clause=no|cognate=no	2	2:189:15;7:81:3	explicit:2	مِن:2	ب ي ت:1;ر ج ل:1	ظ ه ر:1;د و ن:1	2
أ ت ي	أت	IV	obj=none_intransitive|prep=-|clause=no|cognate=no	5	4:102:30;11:105:2;12:93:10;33:20:7;78:18:6	none_intransitive:5				5
أ ت ي	أت	IV	obj=none_intransitive|prep=إِلَى|clause=no|cognate=no	1	24:49:7	none_intransitive:1	إِلَى:1			1
أ ت ي	أت	IV	obj=none_intransitive|prep=بـ;عَلَى|clause=no|cognate=no	1	5:108:4	none_intransitive:1	بـ:1;عَلَى:1		ش ه د:1;و ج ه:1	1
أ ت ي	أت	IV	obj=none_intransitive|prep=بـ|clause=no|cognate=no	15	2:106:7;2:148:13;3:161:11;4:133:7;14:19:15;16:76:20;17:88:10;17:88:16;24:4:7;24:13:10	none_intransitive:15	بـ:15		خ ي ر:2;خ ل ق:2;م ث ل:2;ك م م:1;أ خ ر:1;ر ب ع:1;ش ه د:1;ف ح ش:1;ح د ث:1;س ل ط:1	11
أ ت ي	أت	IV	obj=none_intransitive|prep=عَلَى;بـ|clause=no|cognate=no	1	18:15:8	none_intransitive:1	عَلَى:1;بـ:1		س ل ط:1	1
أ ت ي	أت	PV	obj=clitic|prep=-|clause=no|cognate=no	2	6:40:8;27:87:21	clitic:2				2
أ ت ي	أت	PV	obj=clitic|prep=-|clause=yes|cognate=no	1	9:92:7	clitic:1				1
أ ت ي	أت	PV	obj=clitic|prep=بـ|clause=no|cognate=no	1	9:70:21	clitic:1	بـ:1		ب ي ن:1	1
أ ت ي	أت	PV	obj=clitic|prep=كـ|clause=no|cognate=no	1	20:126:4	clitic:1	كـ:1			1
أ ت ي	أت	PV	obj=explicit|prep=-|clause=no|cognate=no	1	3:188:7	explicit:1				1
أ ت ي	أت	PV	obj=explicit|prep=بـ|clause=no|cognate=no	1	19:27:2	explicit:1	بـ:1	ق و م:1		1
أ ت ي	أت	PV	obj=explicit|prep=مِن|clause=no|cognate=no	1	2:189:25	explicit:1	مِن:1	ب ي ت:1	ب و ب:1	1
أ ت ي	أت	PV	obj=none_intransitive|prep=عَلَى|clause=no|cognate=no	4	7:138:8;25:40:4;27:18:3;51:42:5	none_intransitive:4	عَلَى:4		ق و م:1;ق ر ي:1;و د ي:1	4
أ ت ي	أت	PV	obj=none_passive|prep=بـ|clause=no|cognate=no	1	2:25:29	none_passive:1	بـ:1			1
أ ت ي	أتا	PV	obj=clitic|prep=-|clause=no|cognate=no	16	6:34:16;6:40:4;6:47:4;10:24:33;10:50:4;20:9:3;20:11:3;28:30:3;38:21:3;40:35:9	clitic:16				11
أ ت ي	أتا	PV	obj=clitic|prep=مِن;مِن|clause=no|cognate=no	1	28:46:18	clitic:1	مِن:2		ن ذ ر:1;ق ب ل:1	1
أ ت ي	أتا	PV	obj=clitic|prep=مِن|clause=no|cognate=no	4	16:26:19;32:3:13;39:25:6;59:2:26	clitic:4	مِن:4		ح ي ث:3;ن ذ ر:1	4
أ ت ي	أتى	PV	obj=explicit|prep=بـ|clause=no|cognate=no	1	26:89:3	explicit:1	بـ:1	أ ل ه:1	ق ل ب:1	1
أ ت ي	أتى	PV	obj=explicit|prep=كـ;مِن;مِن|clause=no|cognate=no	1	51:52:4	explicit:1	مِن:2;كـ:1	ل ل ذ:1	ق ب ل:1;ر س ل:1	1
أ ت ي	أتى	PV	obj=explicit|prep=مِن|clause=no|cognate=no	1	16:26:7	explicit:1	مِن:1	ب ن ي:1	ق ع د:1	1
أ ت ي	أتى	PV	obj=none_intransitive|prep=-|clause=no|cognate=no	3	16:1:1;20:60:8;20:69:18	none_intransitive:3				2
أ ت ي	أتى	PV	obj=none_intransitive|prep=عَلَى|clause=no|cognate=no	1	76:1:2	none_intransitive:1	عَلَى:1		أ ن س:1	1
أ ت ي	أتي	CV	obj=clitic|prep=-|clause=no|cognate=no	1	20:47:2	clitic:1				1
أ ت ي	أتي	CV	obj=explicit|prep=-|clause=no|cognate=no	1	26:16:2	explicit:1		ف ر ع ن:1		1
أ ت ي	أتي	IV	obj=clitic|prep=-|clause=no|cognate=no	43	2:118:10;2:248:10;2:260:39;4:16:3;6:4:3;6:5:10;6:158:5;7:35:5;7:97:6;7:98:6	clitic:43				21
أ ت ي	أتي	IV	obj=clitic|prep=بـ;بـ|clause=no|cognate=no	1	14:11:24	clitic:1	بـ:2		س ل ط:1;أ ذ ن:1	1
أ ت ي	أتي	IV	obj=clitic|prep=بـ|clause=no|cognate=no	17	3:183:12;6:35:20;6:46:17;11:33:3;12:83:13;15:7:3;20:58:3;20:133:4;27:21:10;27:37:5	clitic:17	بـ:17		ب ي ن:3;أ ي ي:2;ق ر ب:1;م ل ك:1;س ح ر:1;س ل ط:1;ج ن د:1;ع ر ش:1;ض و أ:1;ل ي ل:1	11
أ ت ي	أتي	IV	obj=clitic|prep=فِي|clause=no|cognate=no	1	2:210:5	clitic:1	فِي:1		ظ ل ل:1	1
أ ت ي	أتي	IV	obj=clitic|prep=مِن;مِن|clause=no|cognate=no	1	41:42:2	clitic:1	مِن:2		ب ي ن:1;خ ل ف:1	1
أ ت ي	أتي	IV	obj=clitic|prep=مِن|clause=no|cognate=no	10	2:38:7;14:17:7;15:11:3;16:45:13;16:112:9;20:123:11;21:2:2;26:5:3;36:30:6;36:46:3	clitic:10	مِن:10		ك ل ل:2;ر س ل:2;ذ ك ر:2;ح ي ث:1;أ ي ي:1	8
أ ت ي	أتي	IV	obj=explicit|prep=-|clause=no|cognate=no	4	4:15:3;13:41:5;21:44:14;63:10:9	explicit:4		أ ر ض:2;ف ح ش:1;أ ح د:1		4
أ ت ي	أتي	IV	obj=none_absolute|prep=بـ|clause=no|cognate=no	2	4:19:23;60:12:27	none_absolute:2	بـ:2		ف ح ش:1;ب ه ت:1	2
أ ت ي	أتي	IV	obj=none_intransitive|prep=-|clause=no|cognate=no	12	2:254:11;6:158:8;6:158:11;6:158:16;7:53:6;13:31:50;14:31:18;16:33:8;16:111:2;30:43:10	none_intransitive:12				9
أ ت ي	أتي	IV	obj=none_intransitive|prep=بـ;بـ|clause=no|cognate=no	2	13:38:21;40:78:24	none_intransitive:2	بـ:4		أ ي ي:2;أ ذ ن:2	2
أ ت ي	أتي	IV	obj=none_intransitive|prep=بـ;مِن|clause=no|cognate=no	1	2:258:31	none_intransitive:1	بـ:1;مِن:1		ش م س:1;ش ر ق:1	1
أ ت ي	أتي	IV	obj=none_intransitive|prep=بـ|clause=no|cognate=no	8	2:109:28;5:52:18;5:54:12;9:24:36;17:92:10;44:10:4;65:1:27;68:41:7	none_intransitive:8	بـ:8		أ م ر:2;ف ت ح:1;ق و م:1;أ ل ه:1;د خ ن:1;ف ح ش:1;ش ر ك:1	7
أ ت ي	أتي	IV	obj=none_intransitive|prep=مِن|clause=no|cognate=no	4	12:48:2;12:49:2;22:27:13;61:6:24	none_intransitive:4	مِن:4		ب ع د:3;ك ل ل:1	3
أ ت ي	أتي	PV	obj=clitic|prep=بـ|clause=no|cognate=no	3	15:64:2;23:71:15;23:90:2	clitic:3	بـ:3		ح ق ق:2;ذ ك ر:1	2
أ ت ي	أتي	PV	obj=explicit|prep=-|clause=no|cognate=no	1	18:77:5	explicit:1		أ ه ل:1		1
أ ت ي	أتي	PV	obj=explicit|prep=بـ|clause=no|cognate=no	1	2:145:4	explicit:1	بـ:1	ل ل ذ:1	ك ل ل:1	1
أ ت ي	أتي	PV	obj=none_absolute|prep=بـ|clause=no|cognate=no	1	21:47:20	none_absolute:1	بـ:1			1
أ ت ي	أتي	PV	obj=none_intransitive|prep=-|clause=no|cognate=no	1	41:11:20	none_intransitive:1				1
أ ت ي	أتي	PV	obj=none_intransitive|prep=بـ|clause=no|cognate=no	1	4:25:49	none_intransitive:1	بـ:1		ف ح ش:1	1
أ ت ي	أوت	PV_PASS	obj=clitic|prep=-|clause=no|cognate=no	1	2:213:31	clitic:1				1
أ ت ي	أوت	PV_PASS	obj=explicit|prep=-|clause=no|cognate=no	26	2:101:15;2:144:29;2:145:6;3:19:10;3:20:17;3:23:5;3:100:10;3:187:7;4:44:5;4:47:4	explicit:26		ك ت ب:14;ع ل م:8;ن ص ب:3;أ م ن:1		16
أ ت ي	أوت	PV_PASS	obj=explicit|prep=مِن|clause=no|cognate=no	5	3:186:12;5:5:25;5:57:15;17:107:9;57:16:22	explicit:5	مِن:5	ك ت ب:4;ع ل م:1	ق ب ل:5	4
أ ت ي	أوت	PV_PASS	obj=none_passive|prep=-|clause=no|cognate=no	1	6:44:17	none_passive:1				1
أ ت ي	أوتي	PV_PASS	obj=clitic|prep=عَلَى|clause=no|cognate=no	2	28:78:3;39:49:14	clitic:2	عَلَى:2		ع ل م:2	2
أ ت ي	أوتي	PV_PASS	obj=explicit|prep=-|clause=no|cognate=no	8	2:136:24;2:269:11;5:41:39;20:36:3;28:48:9;28:79:17;42:36:3;84:10:4	explicit:8		خ ي ر:1;س أ ل:1;م ث ل:1;ك ت ب:1		6
أ ت ي	أوتي	PV_PASS	obj=explicit|prep=بـ|clause=no|cognate=no	4	17:71:9;69:19:4;69:25:4;84:7:4	explicit:4	بـ:4	ك ت ب:4	ي م ن:3;ش م ل:1	3
أ ت ي	أوتي	PV_PASS	obj=explicit|prep=مِن|clause=no|cognate=no	2	2:136:30;27:42:13	explicit:2	مِن:2	ع ل م:1	ر ب ب:1;ق ب ل:1	2
أ ت ي	أوتي	PV_PASS	obj=none_passive|prep=-|clause=no|cognate=no	3	3:73:19;6:124:12;28:48:12	none_passive:3				3
أ ت ي	أوتي	PV_PASS	obj=none_passive|prep=مِن|clause=no|cognate=no	6	3:84:24;17:85:12;27:16:14;27:23:6;28:48:19;28:60:3	none_passive:6	مِن:6		ك ل ل:2;ر ب ب:1;ع ل م:1;ق ب ل:1;ش ي ء:1	4
أ ت ي	ؤت	IV	obj=both|prep=-|clause=no|cognate=no	10	2:271:11;4:5:3;4:127:20;4:146:21;11:3:15;12:66:6;33:31:12;47:36:12;48:16:18;57:28:11	both:10		أ ج ر:4;ف ق ر:1;س ف ه:1;م و ل:1;أ م ن:1;ك ل ل:1;ف ض ل:1;و ث ق:1;ك ف ل:1		8
أ ت ي	ؤت	IV	obj=both|prep=مِن|clause=no|cognate=no	1	8:70:17	both:1	مِن:1	خ ي ر:1		1
أ ت ي	ؤت	IV	obj=clitic|prep=مِن|clause=no|cognate=no	3	3:145:19;3:145:26;42:20:16	clitic:3	مِن:3			2
أ ت ي	ؤت	IV	obj=explicit|prep=-|clause=no|cognate=no	11	4:53:10;5:20:24;5:55:13;7:156:31;9:71:18;23:60:3;27:3:5;28:54:2;31:4:5;41:7:3	explicit:11		ز ك و:7;أ ن س:1;ن ق ر:1;أ ح د:1;أ ج ر:1		10
أ ت ي	ؤت	IV	obj=explicit|prep=مِن|clause=no|cognate=no	1	4:40:13	explicit:1	مِن:1	أ ج ر:1	ل د ن:1	1
أ ت ي	ؤت	IV_PASS	obj=clitic|prep=-|clause=no|cognate=no	1	5:41:46	clitic:1				1
أ ت ي	ؤت	IV_PASS	obj=explicit|prep=-|clause=no|cognate=no	2	2:269:7;24:22:10	explicit:2		ح ك م:1;أ و ل:1		2
أ ت ي	ؤت	IV_PASS	obj=explicit|prep=مِن|clause=no|cognate=no	1	2:247:26	explicit:1	مِن:1	س و ع:1	م و ل:1	1
أ ت ي	ؤتى	IV_PASS	obj=explicit|prep=-|clause=no|cognate=no	3	3:73:15;6:124:9;74:52:7	explicit:3		م ث ل:2;ص ح ف:1		3
أ ت ي	ؤتي	IV	obj=both|prep=-|clause=no|cognate=no	15	2:247:44;3:26:5;3:73:30;3:79:6;4:74:24;4:114:27;4:152:16;4:162:32;5:54:37;11:31:25	both:15		م ن ن:7;أ ج ر:5;م ل ك:2;خ ي ر:2;ك ت ب:1		9
أ ت ي	ؤتي	IV	obj=clitic|prep=مِن|clause=no|cognate=no	1	9:59:14	clitic:1	مِن:1		ف ض ل:1	1
أ ت ي	ؤتي	IV	obj=explicit|prep=-|clause=no|cognate=no	2	2:269:1;92:18:2	explicit:2		ح ك م:1;م ن ن:1;م و ل:1		2
أ ت ي	ؤتي	IV	obj=explicit|prep=بـ|clause=no|cognate=no	1	14:25:1	explicit:1	بـ:1	أ ك ل:1	أ ذ ن:1	1
أ ت ي	ئت	CV	obj=clitic|prep=بـ|clause=no|cognate=no	5	10:79:4;12:50:4;12:54:4;12:59:7;46:4:19	clitic:5	بـ:5		ك ل ل:1;أ خ و:1;ك ت ب:1	3
أ ت ي	ئت	CV	obj=none_intransitive|prep=-|clause=no|cognate=no	1	20:64:5	none_intransitive:1				1
أ ت ي	ئتي	CV	obj=none_intransitive|prep=-|clause=no|cognate=no	1	41:11:15	none_intransitive:1				1
أ ت ي	ائت	CV	obj=clitic|prep=-|clause=no|cognate=no	1	6:71:32	clitic:1				1
أ ت ي	ائت	CV	obj=clitic|prep=بـ|clause=no|cognate=no	3	7:77:13;8:32:19;29:29:21	clitic:3	بـ:3		ع ذ ب:2	3
أ ت ي	ائت	CV	obj=explicit|prep=-|clause=no|cognate=no	1	26:10:7	explicit:1		ق و م:1		1
أ ت ي	ائت	CV	obj=none_absolute|prep=بـ|clause=no|cognate=no	2	10:15:12;45:25:13	none_absolute:2	بـ:2		ق ر ء:1;أ ب و:1	2
أ ت ي	وتي	IV	obj=explicit|prep=-|clause=no|cognate=no	1	19:77:10	explicit:1		م و ل:1;و ل د:1		1
أ ث ر	آثر	PV	obj=clitic|prep=عَلَى|clause=no|cognate=no	1	12:91:6	clitic:1	عَلَى:1			1
أ ث ر	آثر	PV	obj=explicit|prep=-|clause=no|cognate=no	1	79:38:2	explicit:1		ح ي ي:1		1
أ ث ر	أثر	PV	obj=explicit|prep=بـ|clause=no|cognate=no	1	100:4:2	explicit:1	بـ:1	ن ق ع:1		1
أ ث ر	ؤثر	IV	obj=clitic|prep=عَلَى|clause=no|cognate=no	1	20:72:3	clitic:1	عَلَى:1			1
أ ث ر	ؤثر	IV	obj=explicit|prep=-|clause=no|cognate=no	1	87:16:2	explicit:1		ح ي ي:1		1
أ ث ر	ؤثر	IV	obj=none_absolute|prep=عَلَى|clause=no|cognate=no	1	59:9:22	none_absolute:1	عَلَى:1		ن ف س:1	1
أ ث ر	ؤثر	IV_PASS	obj=none_passive|prep=-|clause=no|cognate=no	1	74:24:7	none_passive:1				1
أ ج ر	أجر	CV	obj=clitic|prep=-|clause=no|cognate=no	1	9:6:8	clitic:1				1
أ ج ر	أجر	IV	obj=clitic|prep=-|clause=no|cognate=no	1	28:27:11	clitic:1				1
أ ج ر	استأجر	PV	obj=explicit|prep=-|clause=no|cognate=no	1	28:26:9	explicit:1		م ن ن:1		1
أ ج ر	ستأجر	CV	obj=clitic|prep=-|clause=no|cognate=no	1	28:26:5	clitic:1				1
أ ج ل	أجل	PV	obj=explicit|prep=لـ|clause=no|cognate=no	1	6:128:26	explicit:1	لـ:1	ل ل ذ:1		1
أ ج ل	أجل	PV_PASS	obj=none_passive|prep=لـ|clause=no|cognate=no	1	77:12:4	none_passive:1	لـ:1		أ ي ي:1	1
أ خ ذ	أخذ	GERUND	obj=none_absolute|prep=كـ|clause=no|cognate=no	1	11:102:4	none_absolute:1	كـ:1			1
أ خ ذ	أخذ	GERUND	obj=none_intransitive|prep=-|clause=no|cognate=no	1	73:16:7	none_intransitive:1				1
أ خ ذ	أخذ	IV	obj=clitic|prep=-|clause=no|cognate=no	13	2:255:9;4:20:17;4:21:3;7:73:38;7:169:21;11:64:21;20:39:15;26:156:7;36:49:6;40:5:16	clitic:13				9
أ خ ذ	أخذ	IV	obj=clitic|prep=بـ;فِي|clause=no|cognate=no	1	24:2:13	clitic:1	بـ:1;فِي:1		د ي ن:1	1
أ خ ذ	أخذ	IV	obj=clitic|prep=عَلَى|clause=no|cognate=no	1	16:47:2	clitic:1	عَلَى:1		خ و ف:1	1
أ خ ذ	أخذ	IV	obj=clitic|prep=فِي|clause=no|cognate=no	1	16:46:2	clitic:1	فِي:1		ق ل ب:1	1
أ خ ذ	أخذ	IV	obj=explicit|prep=-|clause=no|cognate=no	6	4:102:18;4:102:41;7:169:8;9:104:11;12:79:5;18:79:18	explicit:6		س ل ح:1;ح ذ ر:1;ع ر ض:1;ص د ق:1;م ن ن:1;ك ل ل:1		5
أ خ ذ	أخذ	IV	obj=explicit|prep=فِي|clause=no|cognate=no	1	12:76:21	explicit:1	فِي:1	أ خ و:1	د ي ن:1	1
أ خ ذ	أخذ	IV	obj=explicit|prep=مِن|clause=no|cognate=no	2	2:229:16;4:20:14	explicit:2	مِن:2	ش ي ء:2		2
أ خ ذ	أخذ	IV	obj=none_absolute|prep=بـ;بـ|clause=no|cognate=no	1	20:94:6	none_absolute:1	بـ:2		ل ح ي:1;ر أ س:1	1
أ خ ذ	أخذ	IV	obj=none_absolute|prep=بـ|clause=no|cognate=no	1	7:145:22	none_absolute:1	بـ:1		ح س ن:1	1
أ خ ذ	أخذ	PV	obj=both|prep=-|clause=no|cognate=no	2	28:40:2;51:40:2	both:2		ج ن د:2		2
أ خ ذ	أخذ	PV	obj=clitic|prep=-|clause=no|cognate=no	24	2:55:14;6:44:18;7:78:2;7:91:2;7:95:17;7:155:11;13:32:15;15:73:2;15:83:2;16:113:10	clitic:24				15
أ خ ذ	أخذ	PV	obj=clitic|prep=بـ|clause=no|cognate=no	11	2:206:7;3:11:13;4:153:23;6:42:10;7:96:21;8:52:14;23:41:2;23:76:4;40:21:25;41:17:12	clitic:11	بـ:11		ذ ن ب:3;ع ذ ب:2;أ ث م:1;ظ ل م:1;ب أ س:1;ح ق ق:1	10
