root_norm	stem	form_tag	frame_signature	instance_count	sample_refs	object_status_profile	prep_profile	object_root_profile	prep_object_root_profile	surah_count
ت ب ع	أتبع	PV	obj=clitic|prep=بـ|clause=no|cognate=no	1	20:78:2	clitic:1	بـ:1		ج ن د:1	1
ت ب ع	أتبع	PV	obj=explicit|prep=-|clause=no|cognate=no	3	18:85:2;18:89:2;18:92:2	explicit:3		س ب ب:3		1
ت ب ع	أتبع	PV_PASS	obj=explicit|prep=فِي|clause=no|cognate=no	2	11:60:2;11:99:2	explicit:2	فِي:2	ل ع ن:2		1
ت ب ع	اتبع	CV	obj=clitic|prep=-|clause=no|cognate=no	6	3:31:7;7:158:38;19:43:12;20:90:20;43:61:12;45:18:8	clitic:6				6
ت ب ع	اتبع	CV	obj=explicit|prep=-|clause=no|cognate=no	14	2:170:6;3:95:5;6:106:1;7:3:1;10:109:2;15:65:10;16:123:5;29:12:8;31:15:22;31:21:6	explicit:14		م ل ل:2;س ب ل:2;د ب ر:1;ر س ل:1;م ن ن:1;ق ر ء:1		12
ت ب ع	اتبع	CV	obj=explicit|prep=مِن|clause=no|cognate=no	1	39:55:2	explicit:1	مِن:1	ح س ن:1	ق ب ل:1	1
ت ب ع	اتبع	PV	obj=clitic|prep=-|clause=no|cognate=no	14	3:20:12;3:55:19;3:68:8;3:167:22;8:64:8;9:42:9;11:27:16;12:108:12;15:42:9;18:70:4	clitic:14				11
ت ب ع	اتبع	PV	obj=clitic|prep=بـ|clause=no|cognate=no	2	9:100:10;52:21:5	clitic:2	بـ:2		ح س ن:1;أ م ن:1	2
ت ب ع	اتبع	PV	obj=clitic|prep=فِي;مِن|clause=no|cognate=no	1	9:117:12	clitic:1	فِي:1;مِن:1		س و ع:1;ب ع د:1	1
ت ب ع	اتبع	PV	obj=clitic|prep=مِن|clause=no|cognate=no	1	26:215:6	clitic:1	مِن:1		أ م ن:1	1
ت ب ع	اتبع	PV	obj=explicit|prep=-|clause=no|cognate=no	31	2:102:2;2:120:21;3:53:7;3:162:3;3:174:13;4:83:34;4:125:14;5:16:5;7:90:10;7:157:48	explicit:31		ه و ي:9;ر ض و:3;م ل ل:2;أ م ر:2;ه د ي:2;ر س ل:1;ش ط ن:1;ش ع ب:1;ن و ر:1;ش ه و:1		17
ت ب ع	اتبع	PV	obj=explicit|prep=بـ;مِن|clause=no|cognate=no	1	28:50:15	explicit:1	بـ:1;مِن:1	ه و ي:1	غ ي ر:1;أ ل ه:1	1
ت ب ع	اتبع	PV	obj=explicit|prep=بـ|clause=no|cognate=no	1	30:29:2	explicit:1	بـ:1	ه و ي:1	غ ي ر:1	1
ت ب ع	اتبع	PV	obj=explicit|prep=مِن|clause=no|cognate=no	1	2:145:30	explicit:1	مِن:1	ه و ي:1	ب ع د:1	1
ت ب ع	اتبع	PV	obj=none_absolute|prep=-|clause=no|cognate=no	2	2:166:7;2:167:4	none_absolute:2				1
ت ب ع	اتبع	PV_PASS	obj=none_passive|prep=-|clause=no|cognate=no	1	2:166:4	none_passive:1				1
ت ب ع	تبع	CV	obj=clitic|prep=-|clause=no|cognate=no	2	6:153:7;6:155:7	clitic:2				1
ت ب ع	تبع	IV	obj=both|prep=-|clause=no|cognate=no	3	2:262:9;54:24:6;77:17:2	both:3		م ن ن:1;ب ش ر:1;أ خ ر:1		3
ت ب ع	تبع	IV	obj=clitic|prep=-|clause=no|cognate=no	9	2:263:8;7:193:7;20:93:2;26:224:3;28:49:12;40:38:7;48:15:10;48:15:18;79:7:1	clitic:9				8
ت ب ع	تبع	IV	obj=clitic|prep=عَلَى|clause=yes|cognate=no	1	18:66:5	clitic:1	عَلَى:1			1
ت ب ع	تبع	IV	obj=explicit|prep=-|clause=no|cognate=no	44	2:120:10;2:143:28;2:168:12;2:170:12;2:208:11;3:7:22;4:27:10;4:115:12;5:49:11;5:77:13	explicit:44		ه و ي:8;ظ ن ن:6;خ ط و:5;ر س ل:3;س ب ل:3;ر ج ل:2;م ل ل:1;ش ه و:1;غ ي ر:1;و ل ي:1		22
ت ب ع	تبع	IV	obj=explicit|prep=-|clause=yes|cognate=no	1	4:135:32	explicit:1		ه و ي:1		1
ت ب ع	تبع	IV	obj=explicit|prep=عَن|clause=no|cognate=no	1	5:48:22	explicit:1	عَن:1	ه و ي:1	ع ن ت:1	1
ت ب ع	تبع	IV	obj=explicit|prep=مِن|clause=no|cognate=no	1	20:134:17	explicit:1	مِن:1	أ ي ي:1	ق ب ل:1	1
ت ب ع	تبع	IV	obj=none_absolute|prep=-|clause=no|cognate=no	1	10:66:14	none_absolute:1				1
ت ب ع	تبع	IV_PASS	obj=none_passive|prep=-|clause=no|cognate=no	1	10:35:21	none_passive:1				1
ت ب ع	تبع	PV	obj=clitic|prep=-|clause=no|cognate=no	3	14:36:9;17:63:5;38:85:7	clitic:3				3
ت ب ع	تبع	PV	obj=clitic|prep=مِن|clause=no|cognate=no	1	7:18:8	clitic:1	مِن:1			1
ت ب ع	تبع	PV	obj=explicit|prep=-|clause=no|cognate=no	3	2:38:12;2:145:12;3:73:7	explicit:3		ه د ي:1;ق ب ل:1;د ي ن:1		2
ت ر ف	أترف	PV	obj=clitic|prep=فِي|clause=no|cognate=no	1	23:33:14	clitic:1	فِي:1		ح ي ي:1	1
ت ر ف	أترف	PV_PASS	obj=none_passive|prep=فِي|clause=no|cognate=no	2	11:116:25;21:13:7	none_passive:2	فِي:2			2
ت ر ك	ترك	CV	obj=explicit|prep=-|clause=no|cognate=no	1	44:24:2	explicit:1		ب ح ر:1		1
ت ر ك	ترك	IV	obj=both|prep=-|clause=no|cognate=no	1	47:35:16	both:1		ع م ل:1		1
ت ر ك	ترك	IV	obj=clitic|prep=-|clause=no|cognate=no	1	7:176:25	clitic:1				1
ت ر ك	ترك	IV	obj=explicit|prep=-|clause=no|cognate=no	1	11:87:7	explicit:1				1
ت ر ك	ترك	IV	obj=none_passive|prep=فِي|clause=no|cognate=no	1	26:146:1	none_passive:1	فِي:1			1
ت ر ك	ترك	IV_PASS	obj=none_passive|prep=-|clause=no|cognate=no	2	9:16:4;75:36:4	none_passive:2				2
ت ر ك	ترك	IV_PASS	obj=none_passive|prep=-|clause=yes|cognate=no	1	29:2:4	none_passive:1				1
ت ر ك	ترك	PV	obj=both|prep=-|clause=no|cognate=no	2	2:264:37;54:15:4	both:2		ص ل د:1;أ ي ي:1		2
ت ر ك	ترك	PV	obj=clitic|prep=-|clause=no|cognate=no	2	59:5:6;62:11:10	clitic:2				2
ت ر ك	ترك	PV	obj=clitic|prep=فِي|clause=no|cognate=no	1	2:17:17	clitic:1	فِي:1		ظ ل م:1	1
ت ر ك	ترك	PV	obj=explicit|prep=-|clause=no|cognate=no	16	2:180:8;2:248:19;4:11:21;4:11:38;4:12:5;4:12:23;4:12:36;4:12:52;4:33:7;4:176:20	explicit:16		خ ي ر:1;م ل ل:1;ب ع ض:1;ك م م:1		7
ت ر ك	ترك	PV	obj=explicit|prep=عَلَى;مِن|clause=no|cognate=no	2	16:61:9;35:45:10	explicit:2	عَلَى:2;مِن:2	د أ ب:2	د أ ب:2;ظ ه ر:1	2
ت ر ك	ترك	PV	obj=explicit|prep=فِي|clause=no|cognate=no	1	51:37:2	explicit:1	فِي:1	أ ي ي:1		1
ت ر ك	ترك	PV	obj=explicit|prep=مِن|clause=no|cognate=no	2	4:9:6;29:35:4	explicit:2	مِن:2	أ ي ي:1	خ ل ف:1	2
ت ر ك	ترك	PV	obj=none_absolute|prep=-|clause=no|cognate=no	3	4:7:5;4:7:14;4:176:38	none_absolute:3				1
ت ر ك	ترك	PV	obj=none_absolute|prep=عَلَى;فِي|clause=no|cognate=no	4	37:78:2;37:108:2;37:119:2;37:129:2	none_absolute:4	عَلَى:4;فِي:4		أ خ ر:4	1
ت ق ن	أتقن	PV	obj=explicit|prep=-|clause=no|cognate=no	1	27:88:14	explicit:1		ك ل ل:1		1
ت ل ل	تل	CV	obj=explicit|prep=-|clause=no|cognate=no	1	29:45:1	explicit:1				1
ت ل ل	تل	CV	obj=explicit|prep=عَلَى;بـ|clause=no|cognate=no	1	5:27:2	explicit:1	عَلَى:1;بـ:1	ن ب أ:1	ح ق ق:1	1
ت ل ل	تل	CV	obj=explicit|prep=عَلَى|clause=no|cognate=no	3	7:175:2;10:71:2;26:69:2	explicit:3	عَلَى:3	ن ب أ:3		3
ت ل ل	تل	IV	obj=clitic|prep=-|clause=no|cognate=no	1	2:121:4	clitic:1				1
ت ل ل	تل	IV	obj=clitic|prep=عَلَى;مِن;مِن|clause=no|cognate=no	1	3:58:2	clitic:1	مِن:2;عَلَى:1		أ ي ي:1;ذ ك ر:1	1
ت ل ل	تل	IV	obj=clitic|prep=مِن|clause=no|cognate=no	1	11:17:9	clitic:1	مِن:1			1
ت ل ل	تل	IV	obj=explicit|prep=-|clause=no|cognate=no	5	2:44:10;2:113:17;3:113:8;6:151:3;35:29:3	explicit:5		ك ت ب:3;أ ي ي:1		4
ت ل ل	تل	IV	obj=explicit|prep=عَلَى|clause=no|cognate=no	2	22:72:17;39:71:22	explicit:2	عَلَى:2	أ ي ي:2		2
ت ل ل	تل	PV	obj=clitic|prep=لـ|clause=no|cognate=no	1	37:103:5	clitic:1	لـ:1		ج ب ن:1	1
