root_arabic	form_tag	form_tag_available	instance_count	legacy_instance_count	referent_total	resolution_coverage	dominant_referent	dominant_ratio	agency	referent_entropy	referent_dist	source	batch_count	low_occurrence
ل ق ي	IV_PASS:I	True	2	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	2	True
ل ق ي	IV_PASS:II	True	1	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	1	True
ل ق ي	IV_PASS:IV	True	2	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	2	True
ل ق ي	NOUN_ACTIVE_PART	True	13	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	11	False
ل ق ي	NOUN_PROP	True	1	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	1	True
ل ق ي	PV:I	True	8	144	150	1.042	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	5	False
ل ق ي	PV:II	True	1	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	1	True
ل ق ي	PV:IV	True	28	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	15	False
ل ق ي	PV:V	True	2	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	2	True
ل ق ي	PV:VIII	True	6	0	150	0.0	GOD	0.18	mixed	3.191	"{""ABSTRACT_CONCEPT"": 12, ""ANGELS"": 2, ""BELIEVERS"": 9, ""DISBELIEVERS"": 14, ""GOD"": 27, ""HUMANS_GENERIC"": 27, ""HYPOCRITES"": 4, ""NATURE_CREATION"": 11, ""OTHER"": 16, ""PROPHET_MUHAMMAD"": 1, ""PROPHET_OTHER"": 24, ""SATAN"": 1, ""SPECIFIC_PERSON"": 2}"	legacy	3	False
