root_arabic	form_tag	form_tag_available	instance_count	legacy_instance_count	referent_total	resolution_coverage	dominant_referent	dominant_ratio	agency	referent_entropy	referent_dist	source	batch_count	low_occurrence
ل ب س	NOUN_ABSTRACT	True	2	0	16	0.0	BELIEVERS	0.25	mixed	2.781	"{""ABSTRACT_CONCEPT"": 1, ""BANU_ISRAEL"": 1, ""BELIEVERS"": 4, ""DISBELIEVERS"": 1, ""HUMANS_GENERIC"": 3, ""NATURE_CREATION"": 1, ""OTHER"": 3, ""PROPHET_OTHER"": 2}"	legacy	2	True
ل ب س	NOUN_CONCRETE	True	9	0	16	0.0	BELIEVERS	0.25	mixed	2.781	"{""ABSTRACT_CONCEPT"": 1, ""BANU_ISRAEL"": 1, ""BELIEVERS"": 4, ""DISBELIEVERS"": 1, ""HUMANS_GENERIC"": 3, ""NATURE_CREATION"": 1, ""OTHER"": 3, ""PROPHET_OTHER"": 2}"	legacy	6	False
ل ب س	PV:I	True	1	0	16	0.0	BELIEVERS	0.25	mixed	2.781	"{""ABSTRACT_CONCEPT"": 1, ""BANU_ISRAEL"": 1, ""BELIEVERS"": 4, ""DISBELIEVERS"": 1, ""HUMANS_GENERIC"": 3, ""NATURE_CREATION"": 1, ""OTHER"": 3, ""PROPHET_OTHER"": 2}"	legacy	1	True
ل ج ج	IV:I	True	2	6	2	0.333	DISBELIEVERS	1.0	human	0.0	"{""DISBELIEVERS"": 2}"	legacy	2	True
ل ج ج	NOUN_CONCRETE	True	1	0	2	0.0	DISBELIEVERS	1.0	human	0.0	"{""DISBELIEVERS"": 2}"	legacy	1	True
ل ج ج	NOUN_RELATIVE	True	1	0	2	0.0	DISBELIEVERS	1.0	human	0.0	"{""DISBELIEVERS"": 2}"	legacy	1	True
ل ج ج	PV:I	True	2	0	2	0.0	DISBELIEVERS	1.0	human	0.0	"{""DISBELIEVERS"": 2}"	legacy	2	True
ل ح د	GERUND	True	2	0	3	0.0	HUMANS_GENERIC	1.0	human	0.0	"{""HUMANS_GENERIC"": 3}"	legacy	2	True
ل ح د	IV:IV	True	3	6	3	0.5	HUMANS_GENERIC	1.0	human	0.0	"{""HUMANS_GENERIC"": 3}"	legacy	3	True
ل ح د	NOUN_ABSTRACT	True	1	0	3	0.0	HUMANS_GENERIC	1.0	human	0.0	"{""HUMANS_GENERIC"": 3}"	legacy	1	True
ل ح ق	CV:IV	True	2	0	7	0.0	GOD	0.571	mixed	1.379	"{""DISBELIEVERS"": 1, ""GOD"": 4, ""PROPHET_OTHER"": 2}"	legacy	2	True
ل ح ق	IV:I	True	2	6	7	1.167	GOD	0.571	mixed	1.379	"{""DISBELIEVERS"": 1, ""GOD"": 4, ""PROPHET_OTHER"": 2}"	legacy	2	True
ل ح ق	PV:IV	True	2	0	7	0.0	GOD	0.571	mixed	1.379	"{""DISBELIEVERS"": 1, ""GOD"": 4, ""PROPHET_OTHER"": 2}"	legacy	2	True
ل ح م	NOUN_CONCRETE	True	12	12	2	0.167	NATURE_CREATION	0.5	mixed	1.0	"{""NATURE_CREATION"": 1, ""OTHER"": 1}"	legacy	10	False
ل ح ي	NOUN_CONCRETE	True	1	1	1	1.0	PROPHET_OTHER	1.0	mixed	0.0	"{""PROPHET_OTHER"": 1}"	legacy	1	True
ل د د	ADJ_COMP	True	1	8	5	0.625	GOD	0.8	divine	0.722	"{""GOD"": 4, ""SPECIFIC_PERSON"": 1}"	legacy	1	True
ل د د	NOUN_ABSTRACT	True	1	0	5	0.0	GOD	0.8	divine	0.722	"{""GOD"": 4, ""SPECIFIC_PERSON"": 1}"	legacy	1	True
ل د ن		False	0	8	7	0.875	GOD	0.857	divine	0.592	"{""GOD"": 6, ""OTHER"": 1}"	legacy	0	True
ل د ي		False	0	7	12	1.714	GOD	0.417	mixed	1.784	"{""ABSTRACT_CONCEPT"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 2, ""OTHER"": 4}"	legacy	0	True
ل ذ ذ	GERUND	True	2	3	1	0.333	HUMANS_GENERIC	1.0	human	0.0	"{""HUMANS_GENERIC"": 1}"	legacy	2	True
ل ذ ذ	IV:I	True	1	0	1	0.0	HUMANS_GENERIC	1.0	human	0.0	"{""HUMANS_GENERIC"": 1}"	legacy	1	True
ل ز م	GERUND	True	2	0	9	0.0	GOD	0.333	mixed	2.197	"{""ABSTRACT_CONCEPT"": 2, ""BELIEVERS"": 1, ""GOD"": 3, ""HUMANS_GENERIC"": 2, ""OTHER"": 1}"	legacy	2	True
ل ز م	IV:IV	True	1	5	9	1.8	GOD	0.333	mixed	2.197	"{""ABSTRACT_CONCEPT"": 2, ""BELIEVERS"": 1, ""GOD"": 3, ""HUMANS_GENERIC"": 2, ""OTHER"": 1}"	legacy	1	True
ل ز م	PV:IV	True	2	0	9	0.0	GOD	0.333	mixed	2.197	"{""ABSTRACT_CONCEPT"": 2, ""BELIEVERS"": 1, ""GOD"": 3, ""HUMANS_GENERIC"": 2, ""OTHER"": 1}"	legacy	2	True
