qac_root_norm	qac_total_occurrences	matched_occurrences	mapping_status	dominant_frozen_root_norm	dominant_furuq_root_id	dominant_furuq_root_norm	dominant_furuq_source_root_norm	dominant_resolution	dominant_occurrences	targets	status_counts	sample_refs	sample_surfaces
ء ب ب	1	1	unique	ء ب ب	root_000003	ء ب ب	أ ب ب	root_norm_unique	1	ء ب ب=>root_000003=>ء ب ب=>أ ب ب=>root_norm_unique:1	same_word_same_root:1	80:31:4	أَبًّۭا
ء ب د	28	28	unique	ء ب د	root_000004	ء ب د	أ ب د	root_norm_unique	28	ء ب د=>root_000004=>ء ب د=>أ ب د=>root_norm_unique:28	same_word_same_root:28	2:95:4|4:57:15|4:122:15|4:169:6|5:24:7|5:119:17|9:22:3|9:83:17	أَبَدًا|أَبَدًۭا|أَبَدَاً
ء ب ق	1	1	unique	ء ب ق	root_000005	ء ب ق	أ ب ق	root_norm_unique	1	ء ب ق=>root_000005=>ء ب ق=>أ ب ق=>root_norm_unique:1	same_word_same_root:1	37:140:2	أَبَقَ
ء ب ل	3	3	unique	ء ب ل	root_000006	ء ب ل	أ ب ل	root_norm_unique	3	ء ب ل=>root_000006=>ء ب ل=>أ ب ل=>root_norm_unique:3	same_word_same_root:3	6:144:3|88:17:5|105:3:5	ٱلْإِبِلِ|أَبَابِيلَ
ء ب و	117	68	unique	ء ب و	root_000007	ء ب و	أ ب و	root_norm_unique	68	ء ب و=>root_000007=>ء ب و=>أ ب و=>root_norm_unique:68	same_word_same_root:68	2:170:16|2:200:10|5:104:19|6:74:6|7:28:8|7:95:12|9:23:7|9:114:7	ءَابَآءَنَآ|ءَابَآءَكُمْ|أَبِيهِ|ءَابَآءَنَا|ءَابَاءَنَا|أَبَتِ|أَبِينَا|أَبَانَا
ء ب ي	13	13	split	ء ب ي	root_000008	ء ب ي	أ ب ي	root_norm_unique	10	ء ب ي=>root_000008=>ء ب ي=>أ ب ي=>root_norm_unique:10|ء ب و=>root_000007=>ء ب و=>أ ب و=>root_norm_unique:3	same_word_root_diff:3|same_word_same_root:10	2:34:13|9:8:17|9:32:9|15:31:3|17:89:14|17:99:25|20:56:10|20:116:13	أَبَى|تَأْبَىٰ|يَأْبَى|أَبَىٰ|أَبَىٰٓ|أَبَيْنَ|يَأْبَ|أَبَوْا۟
ء ت ي	549	362	unique	ء ت ي	root_000009	ء ت ي	أ ت ي	root_norm_unique	362	ء ت ي=>root_000009=>ء ت ي=>أ ت ي=>root_norm_unique:362	same_word_same_root:362	2:23:11|2:25:29|2:38:7|2:53:3|2:63:11|2:87:4|2:87:14|2:93:11	أْتُوا۟|أُتُوا۟|يَأْتِيَنَّكُمْ|ءَاتَيْنَا|ءَاتَيْنَٰكُم|آتَيْنَا|أُوتُوا۟|نَأْتِ
ء ث ث	2	1	unique	ء ث ث	root_000010	ء ث ث	أ ث ث	root_norm_unique	1	ء ث ث=>root_000010=>ء ث ث=>أ ث ث=>root_norm_unique:1	same_word_same_root:1	16:80:28	أَثَٰثًۭا
ء ث ر	21	10	split	ء ث ر	root_000011	ء ث ر	أ ث ر	root_norm_unique	9	ء ث ر=>root_000011=>ء ث ر=>أ ث ر=>root_norm_unique:9|ث و ر=>root_000210=>ث و ر=>ث و ر=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:9	12:91:6|20:84:5|20:96:12|30:50:4|40:21:21|40:82:21|48:29:25|74:24:7	ءَاثَرَكَ|أَثَرِى|أَثَرِ|ءَاثَٰرِ|ءَاثَارًۭا|يُؤْثَرُ|ءَاثَرَ|أَثَٰرَةٍ
ء ث ل	1	1	unique	ء ث ل	root_000012	ء ث ل	أ ث ل	root_norm_unique	1	ء ث ل=>root_000012=>ء ث ل=>أ ث ل=>root_norm_unique:1	same_word_same_root:1	34:16:17	أَثْلٍۢ
ء ث م	48	48	unique	ء ث م	root_000013	ء ث م	أ ث م	root_norm_unique	48	ء ث م=>root_000013=>ء ث م=>أ ث م=>root_norm_unique:48	same_word_same_root:48	2:85:15|2:173:27|2:181:8|2:182:8|2:182:14|2:188:20|2:203:14|2:203:21	ٱلْإِثْمِ|إِثْمَ|إِثْمُهُۥ|إِثْمًا|إِثْمٌۭ|إِثْمُهُمَآ|أَثِيمٍ|آثِمٌ
ء ج ج	3	3	unique	ء ج ج	root_000014	ء ج ج	أ ج ج	root_norm_unique	3	ء ج ج=>root_000014=>ء ج ج=>أ ج ج=>root_norm_unique:3	same_word_same_root:3	25:53:12|35:12:13|56:70:4	أُجَاجٌ|أُجَاجًۭا
ء ج ر	108	105	unique	ء ج ر	root_000015	ء ج ر	أ ج ر	root_norm_unique	105	ء ج ر=>root_000015=>ء ج ر=>أ ج ر=>root_norm_unique:105	same_word_same_root:105	2:62:24|2:112:12|2:262:18|2:274:14|2:277:15|3:57:10|3:136:16|3:171:13	أَجْرُهُمْ|أَجْرُهُۥ|أُجُورَهُمْ|أَجْرُ|أَجْرَ|أَجْرٌ|أُجُورَكُمْ|أُجُورَهُنَّ
ء ج ل	56	56	unique	ء ج ل	root_000016	ء ج ل	أ ج ل	root_norm_unique	56	ء ج ل=>root_000016=>ء ج ل=>أ ج ل=>root_norm_unique:56	same_word_same_root:56	2:231:7|2:232:7|2:234:18|2:235:37|2:282:10|2:282:112|3:145:13|4:77:42	أَجَلَهُنَّ|أَجَلَهُ|أَجَلٍۢ|أَجَلِهِۦ|مُّؤَجَّلًا|أَجَلٍ|أَجْلِ|أَجَلًۭا
ء ح د	85	79	unique	ء ح د	root_000017	ء ح د	أ ح د	root_norm_unique	79	ء ح د=>root_000017=>ء ح د=>أ ح د=>root_norm_unique:79	same_word_same_root:79	2:96:13|2:102:34|2:102:60|2:136:37|2:180:5|2:266:2|2:285:24|3:73:16	أَحَدُهُمْ|أَحَدٍ|أَحَدَكُمُ|أَحَدُكُمْ|أَحَدٍۢ|أَحَدٌ|أَحَدِهِمْ|أَحَدَهُمُ
ء خ ذ	273	232	unique	ء خ ذ	root_000018	ء خ ذ	أ خ ذ	root_norm_unique	232	ء خ ذ=>root_000018=>ء خ ذ=>أ خ ذ=>root_norm_unique:232	same_word_same_root:232	2:48:17|2:51:8|2:54:13|2:55:14|2:63:3|2:63:9|2:80:10|2:83:3	يُؤْخَذُ|ٱتَّخَذْتُمُ|ٱتِّخَاذِكُمُ|أَخَذَتْكُمُ|أَخَذْنَا|خُذُوا۟|أَتَّخَذْتُمْ|اتَّخَذْتُمُ
ء خ ر	250	234	unique	ء خ ر	root_000019	ء خ ر	أ خ ر	root_norm_unique	234	ء خ ر=>root_000019=>ء خ ر=>أ خ ر=>root_norm_unique:234	same_word_same_root:234	2:4:15|2:8:12|2:62:17|2:86:7|2:94:6|2:102:82|2:114:33|2:126:22	الْآخِرَةِ|ٱلْءَاخِرِ|ٱلْءَاخِرَةِ|ٱلْءَاخِرَةُ|أُخَرَ|ٱلْآخِرَةِ|تَأَخَّرَ|ٱلْأُخْرَىٰ
ء خ و	96	68	unique	ء خ و	root_000020	ء خ و	أ خ و	root_norm_unique	68	ء خ و=>root_000020=>ء خ و=>أ خ و=>root_norm_unique:68	same_word_same_root:68	2:178:26|3:103:26|4:11:60|4:12:70|4:12:72|4:23:14|4:23:17|4:23:61	أَخِيهِ|إِخْوَٰنًۭا|إِخْوَةٌ|أَخٌ|أُخْتٌ|ٱلْأَخِ|ٱلْأُخْتِ|ٱلْأُخْتَيْنِ
ء د د	1	1	unique	ء د ي	root_000021	ء د ي	أ د ي	root_norm_unique	1	ء د ي=>root_000021=>ء د ي=>أ د ي=>root_norm_unique:1	same_word_root_diff:1	19:89:5	إِدًّۭا
ء د ي	6	3	split	ء د ي	root_000021	ء د ي	أ د ي	root_norm_unique	2	ء د ي=>root_000021=>ء د ي=>أ د ي=>root_norm_unique:2|و د د=>root_001634=>و د د=>و د د=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:2	2:178:33|44:18:2|2:283:20	أَدَآءٌ|أَدُّوٓا۟|يُؤَدِّ
ء ذ ن	102	82	unique	ء ذ ن	root_000022	ء ذ ن	أ ذ ن	root_norm_unique	82	ء ذ ن=>root_000022=>ء ذ ن=>أ ذ ن=>root_norm_unique:82	same_word_same_root:82	2:97:13|2:102:63|2:213:50|2:221:45|2:249:70|2:251:4|2:255:29|2:279:6	إِذْنِ|إِذْنِهِۦ|إِذْنِهِ|أْذَنُوا|ءَاذَانَ|ٱلْأُذُنَ|ٱلْأُذُنِ|إِذْنِى
ء ذ ي	24	14	unique	ء ذ ي	root_000023	ء ذ ي	أ ذ ي	root_norm_unique	14	ء ذ ي=>root_000023=>ء ذ ي=>أ ذ ي=>root_norm_unique:14	same_word_same_root:14	2:196:31|2:222:7|2:262:15|2:263:9|2:264:11|3:111:4|3:186:20|3:195:27	أَذًى|أَذًۭى|ٱلْأَذَىٰ|أُوذُوا۟|ءَاذُوهُمَا|أُوذُوا|أُوذِينَا|أُوذِيَ
ء ر ب	2	1	unique	ء ر ب	root_000024	ء ر ب	أ ر ب	root_norm_unique	1	ء ر ب=>root_000024=>ء ر ب=>أ ر ب=>root_norm_unique:1	same_word_same_root:1	20:18:13	مَـَٔارِبُ
ء ر ض	461	461	unique	ء ر ض	root_000025	ء ر ض	أ ر ض	root_norm_unique	461	ء ر ض=>root_000025=>ء ر ض=>أ ر ض=>root_norm_unique:461	same_word_same_root:461	2:11:9|2:22:4|2:27:19|2:29:7|2:30:10|2:33:21|2:36:20|2:60:34	ٱلْأَرْضِ|ٱلْأَرْضَ|ٱلْأَرْضُ|الْأَرْضِ|أَرْضُ|أَرْضِ|أَرْضِكُمْ|الْأَرْضَ
ء ر ك	5	5	unique	ء ر ك	root_000026	ء ر ك	أ ر ك	root_norm_unique	5	ء ر ك=>root_000026=>ء ر ك=>أ ر ك=>root_norm_unique:5	same_word_same_root:5	18:31:27|36:56:7|76:13:4|83:23:2|83:35:2	ٱلْأَرَآئِكِ|ٱلْأَرَآئِكِ
ء ز ر	2	2	unique	ء ز ر	root_000027	ء ز ر	أ ز ر	root_norm_unique	2	ء ز ر=>root_000027=>ء ز ر=>أ ز ر=>root_norm_unique:2	same_word_same_root:2	20:31:3|48:29:40	أَزْرِى|آزَرَهُ
ء ز ز	2	1	unique	ء ز ز	root_000028	ء ز ز	أ ز ز	root_norm_unique	1	ء ز ز=>root_000028=>ء ز ز=>أ ز ز=>root_norm_unique:1	same_word_same_root:1	19:83:9	أَزًّا
ء ز ف	3	2	unique	ء ز ف	root_000029	ء ز ف	أ ز ف	root_norm_unique	2	ء ز ف=>root_000029=>ء ز ف=>أ ز ف=>root_norm_unique:2	same_word_same_root:2	40:18:5|53:57:1	ءَازِفَةِ|أَزِفَتِ
ء س ر	6	5	split	ء س ر	root_000030	ء س ر	أ س ر	root_norm_unique	2	ء س ر=>root_000030=>ء س ر=>أ س ر=>root_norm_unique:2|س ر ي=>root_000702=>س ر ي=>س ر ي=>source_root_norm:2|س ر ر=>root_000697=>س ر ر=>س ر ر=>source_root_norm:1	same_word_root_diff:3|same_word_same_root:2	2:85:21|76:8:10|8:67:8|8:70:10|76:28:5	أُسَٰرَىٰ|أَسِيرًا|أَسْرَىٰ|ٱلْأَسْرَىٰ|أَسْرَهُمْ
ء س س	3	3	unique	ء س س	root_000031	ء س س	أ س س	root_norm_unique	3	ء س س=>root_000031=>ء س س=>أ س س=>root_norm_unique:3	same_word_same_root:3	9:108:7|9:109:3|9:109:14	أُسِّسَ|أَسَّسَ
ء س ف	5	4	unique	ء س ف	root_000032	ء س ف	أ س ف	root_norm_unique	4	ء س ف=>root_000032=>ء س ف=>أ س ف=>root_norm_unique:4	same_word_same_root:4	7:150:8|12:84:7|18:6:13|20:86:7	أَسِفًۭا|أَسَفَىٰ|أَسَفًا
ء س ن	1	0	no_frozen_rooted_surface_match						0				
ء س و	7	6	split	ء س و	root_000034	ء س و	أ س و	root_norm_unique	4	ء س و=>root_000034=>ء س و=>أ س و=>root_norm_unique:4|س و ء=>root_000755=>س و ء=>س و أ=>root_norm_unique:2	same_word_root_diff:2|same_word_same_root:4	5:26:13|5:68:34|7:93:18|33:21:8|60:4:4|60:6:6	تَأْسَ|ءَاسَىٰ|أُسْوَةٌ
ء ش ر	2	2	unique	ء ش ر	root_000035	ء ش ر	أ ش ر	root_norm_unique	2	ء ش ر=>root_000035=>ء ش ر=>أ ش ر=>root_norm_unique:2	same_word_same_root:2	54:25:9|54:26:5	أَشِرٌۭ|ٱلْأَشِرُ
ء ص ر	3	3	unique	ء ص ر	root_000037	ء ص ر	أ ص ر	root_norm_unique	3	ء ص ر=>root_000037=>ء ص ر=>أ ص ر=>root_norm_unique:3	same_word_same_root:3	2:286:27|3:81:31|7:157:33	إِصْرًۭا|إِصْرِى|إِصْرَهُمْ
ء ص ل	10	7	unique	ء ص ل	root_000038	ء ص ل	أ ص ل	root_norm_unique	7	ء ص ل=>root_000038=>ء ص ل=>أ ص ل=>root_norm_unique:7	same_word_same_root:7	14:24:12|25:5:12|33:42:5|37:64:5|48:9:15|59:5:9|76:25:7	أَصْلُهَا|أَصِيلًا|أَصْلِ|أُصُولِهَا|أَصِيلًۭا
ء ف ف	3	3	unique	ء ف ف	root_000039	ء ف ف	أ ف ف	root_norm_unique	3	ء ف ف=>root_000039=>ء ف ف=>أ ف ف=>root_norm_unique:3	same_word_same_root:3	17:23:24|21:67:1|46:17:6	أُفٍّۢ
ء ف ق	3	2	unique	ء ف ق	root_000040	ء ف ق	أ ف ق	root_norm_unique	2	ء ف ق=>root_000040=>ء ف ق=>أ ف ق=>root_norm_unique:2	same_word_same_root:2	53:7:4|81:23:6	ٱلْأُفُقِ
ء ف ك	30	16	unique	ء ف ك	root_000041	ء ف ك	أ ف ك	root_norm_unique	16	ء ف ك=>root_000041=>ء ف ك=>أ ف ك=>root_norm_unique:16	same_word_same_root:16	7:117:13|24:11:5|24:12:14|25:4:8|26:45:10|26:222:4|29:17:9|34:43:24	يَأْفِكُونَ|الْإِفْكِ|إِفْكٌ|أَفَّاكٍ|إِفْكًا|إِفْكِهِمْ|يُؤْفَكُ|أَفَّاكٍ
ء ف ل	4	4	unique	ء ف ل	root_000042	ء ف ل	أ ف ل	root_norm_unique	4	ء ف ل=>root_000042=>ء ف ل=>أ ف ل=>root_norm_unique:4	same_word_same_root:4	6:76:13|6:76:17|6:77:11|6:78:13	أَفَلَ|ٱلْءَافِلِينَ|أَفَلَتْ
ء ك ل	109	109	split	ء ك ل	root_000043	ء ك ل	أ ك ل	root_norm_unique	79	ء ك ل=>root_000043=>ء ك ل=>أ ك ل=>root_norm_unique:79|ك ل ل=>root_001315=>ك ل ل=>ك ل ل=>source_root_norm:30	same_word_root_diff:30|same_word_same_root:79	2:35:11|2:57:11|2:58:8|2:60:21|2:60:24|2:168:4|2:172:5|2:187:38	كُلَا|كُلُوا۟|كُلُّ|كُلُوهُ|كُلُوا|كُلِّ|كُلِى|يَأْكُلُونَ
ء ل ت	1	1	unique	ء ل ت	root_000044	ء ل ت	أ ل ت	root_norm_unique	1	ء ل ت=>root_000044=>ء ل ت=>أ ل ت=>root_norm_unique:1	same_word_same_root:1	52:21:15	أَلَتْنَٰهُم
ء ل ف	22	19	unique	ء ل ف	root_000045	ء ل ف	أ ل ف	root_norm_unique	19	ء ل ف=>root_000045=>ء ل ف=>أ ل ف=>root_norm_unique:19	same_word_same_root:19	2:96:16|2:243:10|3:103:19|3:124:12|3:125:15|8:9:10|8:63:2|8:63:12	أَلْفَ|أُلُوفٌ|أَلَّفَ|ءَالَٰفٍۢ|أَلْفٍ|أَلَّفْتَ|أَلْفًا|أَلْفٌۭ
ء ل ل	2	0	no_frozen_rooted_surface_match						0				
ء ل م	75	72	unique	ء ل م	root_000046	ء ل م	أ ل م	root_norm_unique	72	ء ل م=>root_000046=>ء ل م=>أ ل م=>root_norm_unique:72	same_word_same_root:72	2:10:11|2:104:17|2:174:33|2:178:51|3:21:25|3:77:34|3:91:25|3:177:14	أَلِيمٌ|أَلِيمٌۭ|أَلِيمٍ|أَلِيمًۭا|أَلِيمًا|أَلِيمٌۢ|أَلِيمٍۢ|ٱلْأَلِيمَ
ء ل ه	2851	2849	unique	ء ل ه	root_000047	ء ل ه	أ ل ه	root_norm_unique	2849	ء ل ه=>root_000047=>ء ل ه=>أ ل ه=>root_norm_unique:2849	same_word_same_root:2849	1:1:3|1:2:3|2:7:2|2:8:8|2:9:2|2:10:6|2:15:1|2:17:13	ٱللَّهِ|ٱللَّهُ|ٱللَّهَ|اللَّهِ|اللَّهُ|ٱللَّهَ|لَّهِ|اللَّهَ
ء ل و	37	35	split	ء ل و	root_000048	ء ل و	أ ل و	root_norm_unique	34	ء ل و=>root_000048=>ء ل و=>أ ل و=>root_norm_unique:34|ت ل و=>root_000186=>ت ل و=>ت ل و=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:34	7:69:28|7:74:23|53:55:4|55:13:4|55:16:4|55:18:4|55:21:4|55:23:4	ءَالَآءَ|ءَالَآءِ|يَأْتَلِ
ء م ت	1	1	unique	ء م ت	root_000049	ء م ت	أ م ت	root_norm_unique	1	ء م ت=>root_000049=>ء م ت=>أ م ت=>root_norm_unique:1	same_word_same_root:1	20:107:7	أَمْتًۭا
ء م د	4	4	unique	ء م د	root_000050	ء م د	أ م د	root_norm_unique	4	ء م د=>root_000050=>ء م د=>أ م د=>root_norm_unique:4	same_word_same_root:4	3:30:21|18:12:10|57:16:29|72:25:11	أَمَدًا|ٱلْأَمَدُ
ء م ر	248	241	unique	ء م ر	root_000051	ء م ر	أ م ر	root_norm_unique	241	ء م ر=>root_000051=>ء م ر=>أ م ر=>root_norm_unique:241	same_word_same_root:241	2:27:11|2:44:1|2:67:9|2:93:29|2:109:31|2:117:8|2:169:2|2:210:15	أَمَرَ|أَتَأْمُرُونَ|يَأْمُرُكُمْ|أَمْرِهِ|أَمْرًۭا|يَأْمُرُكُم|ٱلْأَمْرُ|ٱلْأُمُورُ
ء م ل	2	2	unique	ء م ل	root_000052	ء م ل	أ م ل	root_norm_unique	2	ء م ل=>root_000052=>ء م ل=>أ م ل=>root_norm_unique:2	same_word_same_root:2	15:3:7|18:46:16	ٱلْأَمَلُ|أَمَلَاً
ء م م	119	102	unique	ء م م	root_000053	ء م م	أ م م	root_norm_unique	102	ء م م=>root_000053=>ء م م=>أ م م=>root_norm_unique:102	same_word_same_root:102	2:78:3|2:124:15|2:128:9|2:134:2|2:141:2|2:143:5|2:213:3|3:7:10	أُمِّيُّونَ|إِمَامًۭا|أُمَّةًۭ|أُمَّةٌ|أُمَّةً|أُمُّ|أُمَّةٌۭ|أُمَّةٍ
ء م ن	879	365	unique	ء م ن	root_000054	ء م ن	أ م ن	root_norm_unique	365	ء م ن=>root_000054=>ء م ن=>أ م ن=>root_norm_unique:365	same_word_same_root:365	2:8:17|2:13:9|2:13:15|2:55:7|2:62:12|2:91:12|2:91:38|2:93:34	مُؤْمِنِينَ|ءَامَنَ|نُّؤْمِنَ|نُؤْمِنُ|مُّؤْمِنِينَ|ٱلْمُؤْمِنِينَ|أَمْنًا|ءَامِنًۭا
ء م و	2	2	split	ء م م	root_000053	ء م م	أ م م	root_norm_unique	1	ء م م=>root_000053=>ء م م=>أ م م=>root_norm_unique:1|ء م و=>root_000056=>ء م و=>أ م و=>root_norm_unique:1	same_word_root_diff:1|same_word_same_root:1	2:221:9|24:32:10	أَمَةٌ|إِمَآئِكُمْ
ء ن ث	30	23	unique	ء ن ث	root_000058	ء ن ث	أ ن ث	root_norm_unique	23	ء ن ث=>root_000058=>ء ن ث=>أ ن ث=>root_norm_unique:23	same_word_same_root:23	2:178:18|2:178:20|3:36:8|3:36:19|3:195:15|4:124:9|13:8:6|16:58:6	ٱلْأُنثَىٰ|أُنثَىٰ|أُنْثَىٰ|إِنَٰثًا|إِنَٰثًۭا|ٱلْأُنثَىٰٓ
ء ن س	97	28	unique	ء ن س	root_000059	ء ن س	أ ن س	root_norm_unique	28	ء ن س=>root_000059=>ء ن س=>أ ن س=>root_norm_unique:28	same_word_same_root:28	2:60:22|6:112:10|6:128:11|6:128:16|6:130:5|7:38:12|7:82:13|7:160:28	أُنَاسٍ|ٱلْإِنسِ|أُنَاسٌ|أُنَاسٍۢ|إِنسَٰنٍ|أُنَاسٍۭ|ٱلْإِنسُ|إِنسِيًّا
ء ن ف	3	3	unique	ء ن ف	root_000060	ء ن ف	أ ن ف	root_norm_unique	3	ء ن ف=>root_000060=>ء ن ف=>أ ن ف=>root_norm_unique:3	same_word_same_root:3	5:45:14|5:45:16|47:16:18	ٱلْأَنفَ|ٱلْأَنفِ|ءَانِفًا
ء ن م	1	1	unique	ء ن م	root_000061	ء ن م	أ ن م	root_norm_unique	1	ء ن م=>root_000061=>ء ن م=>أ ن م=>root_norm_unique:1	same_word_same_root:1	55:10:5	ٱلْأَنَامِ
ء ن ي	36	6	split	ء ن ي	root_000063	ء ن ي	أ ن ي	root_norm_unique	5	ء ن ي=>root_000063=>ء ن ي=>أ ن ي=>root_norm_unique:5|ء و ن=>root_000068=>ء و ن=>أ و ن=>root_norm_unique:1	same_word_root_diff:1|same_word_same_root:5	20:130:19|39:9:4|57:16:2|76:15:5|88:5:4|55:44:6	ءَانَآئِ|ءَانَآءَ|يَأْنِ|آنِيَةٍ|ءَانِيَةٍۢ|ءَانٍۢ
ء ه ل	127	127	unique	ء ه ل	root_000064	ء ه ل	أ ه ل	root_norm_unique	127	ء ه ل=>root_000064=>ء ه ل=>أ ه ل=>root_norm_unique:127	same_word_same_root:127	2:105:6|2:109:4|2:126:12|2:196:79|2:217:24|3:64:3|3:65:2|3:69:4	أَهْلِ|أَهْلَهُۥ|أَهْلُهُ|أَهْلِهِۦ|أَهْلَ|أَهْلُ|أَهْلِكَ|أَهْلِهِنَّ
ء و ب	17	17	unique	ء و ب	root_000065	ء و ب	أ و ب	root_norm_unique	17	ء و ب=>root_000065=>ء و ب=>أ و ب=>root_norm_unique:17	same_word_same_root:17	3:14:32|13:29:11|13:36:30|17:25:14|34:10:10|38:17:12|38:19:6|38:25:13	ٱلْمَـَٔابِ|مَـَٔابٍۢ|مَـَٔابِ|ٱلْأَوَّٰبِينَ|أَوِّبِى|أَوَّابٌ|أَوَّابٌۭ|مَـَٔابٍۢ
ء و د	1	1	unique	ء و د	root_000066	ء و د	أ و د	root_norm_unique	1	ء و د=>root_000066=>ء و د=>أ و د=>root_norm_unique:1	same_word_same_root:1	2:255:55	يَـُٔودُهُۥ
ء و ل	170	164	split	ء و ل	root_000067	ء و ل	أ و ل	root_norm_unique	148	ء و ل=>root_000067=>ء و ل=>أ و ل=>root_norm_unique:148|و ل ي=>root_001684=>و ل ي=>و ل ي=>source_root_norm:16	same_word_root_diff:16|same_word_same_root:148	2:41:12|2:49:5|2:50:11|2:179:7|2:197:37|2:248:20|2:248:23|2:269:18	أَوَّلَ|ءَالِ|ءَالَ|أُو۟لِى|ءَالُ|أُو۟لُوا۟|تَأْوِيلِهِۦ|تَأْوِيلَهُۥٓ
ء و ه	2	0	no_frozen_rooted_surface_match						0				
ء و ي	36	12	unique	ء و ي	root_000070	ء و ي	أ و ي	root_norm_unique	12	ء و ي=>root_000070=>ء و ي=>أ و ي=>root_norm_unique:12	same_word_same_root:12	11:43:2|11:80:9|12:99:6|18:10:2|18:16:10|18:63:4|32:19:11|33:51:6	سَآوِي|آوِي|ءَاوَىٰٓ|أَوَى|أْوُۥٓا۟|أَوَيْنَا|ٱلْمَأْوَىٰ|تُـْٔوِىٓ
ء ي د	11	11	unique	ء ي د	root_000071	ء ي د	أ ي د	root_norm_unique	11	ء ي د=>root_000071=>ء ي د=>أ ي د=>root_norm_unique:11	same_word_same_root:11	2:87:20|2:253:22|3:13:22|5:110:15|8:26:16|8:62:12|9:40:32|38:17:10	أَيَّدْنَاهُ|أَيَّدْنَٰهُ|يُؤَيِّدُ|أَيَّدتُّكَ|أَيَّدَكُم|أَيَّدَكَ|أَيَّدَهُۥ|ٱلْأَيْدِ
ء ي م	1	0	no_frozen_rooted_surface_match						0				
ء ي ي	382	159	unique	ء ي ي	root_000074	ء ي ي	أ ي ي	root_norm_unique	159	ء ي ي=>root_000074=>ء ي ي=>أ ي ي=>root_norm_unique:159	same_word_same_root:159	2:99:6|2:106:4|2:118:11|2:164:53|2:231:33|2:248:7|2:248:31|2:252:2	ءَايَٰتٍ|ءَايَةٍ|ءَايَةٌ|ءَايَٰتٍۢ|ءَايَٰتِ|ءَايَةَ|ءَايَةً|ءَايَٰتُ
ب ء ر	1	1	unique	ب ء ر	root_000078	ب ء ر	ب أ ر	root_norm_unique	1	ب ء ر=>root_000078=>ب ء ر=>ب أ ر=>root_norm_unique:1	same_word_same_root:1	22:45:15	بِئْرٍ
ب ء س	73	73	unique	ب ء س	root_000079	ب ء س	ب أ س	root_norm_unique	73	ب ء س=>root_000079=>ب ء س=>ب أ س=>root_norm_unique:73	same_word_same_root:73	2:90:1|2:93:28|2:102:87|2:126:36|2:177:60|2:177:65|2:206:16|2:214:15	بِئْسَ|بِئْسَمَا|ٱلْبَأْسَآءِ|ٱلْبَأْسِ|ٱلْبَأْسَآءُ|بَأْسَ|بَأْسًۭا|الْبَأْسَاءِ
ب ت ر	1	1	unique	ب ت ر	root_000080	ب ت ر	ب ت ر	source_root_norm	1	ب ت ر=>root_000080=>ب ت ر=>ب ت ر=>source_root_norm:1	same_word_same_root:1	108:3:4	ٱلْأَبْتَرُ
ب ت ك	1	0	no_frozen_rooted_surface_match						0				
ب ت ل	2	2	unique	ب ت ل	root_000082	ب ت ل	ب ت ل	source_root_norm	2	ب ت ل=>root_000082=>ب ت ل=>ب ت ل=>source_root_norm:2	same_word_same_root:2	73:8:6|73:8:8	تَبَتَّلْ|تَبْتِيلًۭا
ب ث ث	9	9	unique	ب ث ث	root_000083	ب ث ث	ب ث ث	source_root_norm	9	ب ث ث=>root_000083=>ب ث ث=>ب ث ث=>source_root_norm:9	same_word_same_root:9	2:164:37|4:1:16|12:86:4|31:10:17|42:29:10|45:4:6|56:6:4|88:16:3	بَثَّ|بَثِّي|بَثَّ|يَبُثُّ|مُّنۢبَثًّۭا|مَبْثُوثَةٌ|ٱلْمَبْثُوثِ
ب ج س	1	1	unique	ب ج س	root_000084	ب ج س	ب ج س	source_root_norm	1	ب ج س=>root_000084=>ب ج س=>ب ج س=>source_root_norm:1	same_word_same_root:1	7:160:20	ٱنۢبَجَسَتْ
ب ح ث	1	1	unique	ب ح ث	root_000085	ب ح ث	ب ح ث	source_root_norm	1	ب ح ث=>root_000085=>ب ح ث=>ب ح ث=>source_root_norm:1	same_word_same_root:1	5:31:5	يَبْحَثُ
ب ح ر	42	42	unique	ب ح ر	root_000086	ب ح ر	ب ح ر	source_root_norm	42	ب ح ر=>root_000086=>ب ح ر=>ب ح ر=>source_root_norm:42	same_word_same_root:42	2:50:6|2:164:17|5:96:4|5:103:5|6:59:15|6:63:8|6:97:14|7:138:6	ٱلْبَحْرَ|ٱلْبَحْرِ|بَحِيرَةٍۢ|الْبَحْرِ|الْبَحْرَ|ٱلْبَحْرَيْنِ|ٱلْبَحْرُ|بَحْرٍ
ب خ س	7	3	unique	ب خ س	root_000087	ب خ س	ب خ س	source_root_norm	3	ب خ س=>root_000087=>ب خ س=>ب خ س=>source_root_norm:3	same_word_same_root:3	2:282:47|12:20:5|72:13:16	يَبْخَسْ|بَخْسٍ|بَخْسًۭا
ب خ ع	2	2	unique	ب خ ع	root_000088	ب خ ع	ب خ ع	source_root_norm	2	ب خ ع=>root_000088=>ب خ ع=>ب خ ع=>source_root_norm:2	same_word_same_root:2	18:6:3|26:3:2	بَٰخِعٌۭ
