qac_root_norm	qac_total_occurrences	matched_occurrences	mapping_status	dominant_frozen_root_norm	dominant_furuq_root_id	dominant_furuq_root_norm	dominant_furuq_source_root_norm	dominant_resolution	dominant_occurrences	targets	status_counts	sample_refs	sample_surfaces
ش ه ب	5	5	unique	ش ه ب	root_000821	ش ه ب	ش ه ب	source_root_norm	5	ش ه ب=>root_000821=>ش ه ب=>ش ه ب=>source_root_norm:5	same_word_same_root:5	15:18:7|27:7:16|37:10:7|72:8:11|72:9:15	شِهَابٌ|شِهَابٍۢ|شِهَابٌۭ|شُهُبًۭا|شِهَابًۭا
ش ه د	160	139	unique	ش ه د	root_000822	ش ه د	ش ه د	source_root_norm	139	ش ه د=>root_000822=>ش ه د=>ش ه د=>source_root_norm:139	same_word_same_root:139	2:23:18|2:84:18|2:133:3|2:140:27|2:143:9|2:143:16|2:185:18|2:204:11	شُهَدَآءَكُمْ|تَشْهَدُونَ|شُهَدَاءَ|شَهَٰدَةً|شُهَدَآءَ|شَهِيدًا|شَهِدَ|يُشْهِدُ
ش ه ر	21	21	unique	ش ه ر	root_000823	ش ه ر	ش ه ر	source_root_norm	21	ش ه ر=>root_000823=>ش ه ر=>ش ه ر=>source_root_norm:21	same_word_same_root:21	2:185:1|2:185:20|2:194:1|2:194:4|2:197:2|2:217:3|2:226:8|2:234:12	شَهْرُ|الشَّهْرَ|ٱلشَّهْرُ|ٱلشَّهْرِ|أَشْهُرٌ|أَشْهُرٍ|أَشْهُرٍۢ|شَهْرَيْنِ
ش ه ق	2	2	unique	ش ه ق	root_000824	ش ه ق	ش ه ق	source_root_norm	2	ش ه ق=>root_000824=>ش ه ق=>ش ه ق=>source_root_norm:2	same_word_same_root:2	11:106:13|67:7:7	شَهِيقٌ|شَهِيقًۭا
ش ه و	13	4	unique	ش ه و	root_000825	ش ه و	ش ه و	source_root_norm	4	ش ه و=>root_000825=>ش ه و=>ش ه و=>source_root_norm:4	same_word_same_root:4	7:81:5|21:102:8|27:55:5|41:31:13	شَهْوَةًۭ|ٱشْتَهَتْ|تَشْتَهِىٓ
ش و ب	1	1	unique	ش و ب	root_000826	ش و ب	ش و ب	source_root_norm	1	ش و ب=>root_000826=>ش و ب=>ش و ب=>source_root_norm:1	same_word_same_root:1	37:67:7	شَوْبًۭا
ش و ر	4	4	unique	ش و ر	root_000827	ش و ر	ش و ر	source_root_norm	4	ش و ر=>root_000827=>ش و ر=>ش و ر=>source_root_norm:4	same_word_same_root:4	2:233:51|3:159:28|19:29:2|42:38:11	تَشَاوُرٍۢ|شَاوِرْهُمْ|أَشَارَتْ|شُورَىٰ
ش و ظ	1	1	unique	ش و ظ	root_000828	ش و ظ	ش و ظ	source_root_norm	1	ش و ظ=>root_000828=>ش و ظ=>ش و ظ=>source_root_norm:1	same_word_same_root:1	55:35:3	شُوَاظٌ
ش و ك	1	0	no_frozen_rooted_surface_match						0				
ش و ي	2	2	unique	ش و ي	root_000830	ش و ي	ش و ي	source_root_norm	2	ش و ي=>root_000830=>ش و ي=>ش و ي=>source_root_norm:2	same_word_same_root:2	18:29:35|70:16:3	يَشْوِى|الشَّوَىٰ
