left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P28508	P32941	0.458437	0.40416	0.495927	0.474348	0.555556	0.666667	0.5	mutual_knn
P13862	P14252	0.458436	0.378132	0.431679	0.671889	0.7	0.6	0.5	mutual_knn
P5306	P7987	0.458435	0.355309	0.394791	0.603696	1.0	0.714286	0.666667	mutual_knn
P24732	P30562	0.458434	0.350198	0.494569	0.527456	0.75	0.666667	0.5	mutual_knn
P10115	P12426	0.458432	0.371845	0.436941	0.63172	0.75	0.666667	0.6	mutual_knn
P25597	P41329	0.458431	0.355867	0.515586	0.553356	0.625	0.666667	0.5	mutual_knn
P27066	P40677	0.45843	0.386835	0.50403	0.479435	0.6	0.666667	0.5	mutual_knn
P37754	P38437	0.45843	0.398921	0.49116	0.470098	0.6	0.666667	0.5	mutual_knn
P11808	P5053	0.458429	0.411174	0.51974	0.514919	0.4	0.75	0.666667	mutual_knn
P11634	P15042	0.458428	0.402287	0.495029	0.541387	0.5	0.75	0.666667	mutual_knn
P23059	P26420	0.458428	0.318613	0.500674	0.523165	0.875	0.666667	0.5	mutual_knn
P26524	P42100	0.458428	0.341995	0.498061	0.455935	0.846154	0.666667	0.5	mutual_knn
P27501	P39743	0.458428	0.363506	0.49153	0.528149	0.7	0.666667	0.5	mutual_knn
P31366	P31511	0.458428	0.408565	0.494512	0.514943	0.5	0.666667	0.5	mutual_knn
P31760	P31906	0.458428	0.340251	0.509483	0.484248	0.785714	0.666667	0.5	mutual_knn
P22737	P22830	0.458427	0.328422	0.506606	0.458254	0.875	0.666667	0.5	mutual_knn
P2309	P2992	0.458426	0.394857	0.431746	0.421292	0.875	0.6	0.555556	mutual_knn
P24002	P41424	0.458425	0.385563	0.493844	0.520758	0.6	0.666667	0.5	mutual_knn
P23013	P29665	0.458423	0.422559	0.488461	0.473103	0.5	0.666667	0.5	mutual_knn
P31258	P44253	0.458423	0.387211	0.515999	0.535777	0.5	0.666667	0.5	mutual_knn
P24937	P34180	0.458422	0.30695	0.485147	0.504933	1.0	0.666667	0.5	mutual_knn
P28003	P43250	0.458421	0.37078	0.48209	0.450603	0.777778	0.666667	0.5	mutual_knn
P14969	P19597	0.45842	0.362043	0.477238	0.498956	0.785714	0.75	0.666667	mutual_knn
P23559	P36676	0.45842	0.36778	0.497125	0.474971	0.714286	0.666667	0.5	mutual_knn
P27471	P33611	0.458419	0.359187	0.500132	0.467387	0.75	0.666667	0.5	mutual_knn
P11557	P20686	0.458418	0.379921	0.499786	0.458624	0.666667	0.75	0.666667	mutual_knn
P24865	P44486	0.458418	0.345956	0.490734	0.509812	0.8	0.666667	0.5	mutual_knn
P37457	P37739	0.458418	0.332485	0.5209	0.431513	0.833333	0.666667	0.5	mutual_knn
P12295	P17083	0.458417	0.357619	0.479561	0.463087	0.833333	0.75	0.666667	mutual_knn
P22725	P43773	0.458417	0.368816	0.481519	0.489177	0.75	0.666667	0.5	mutual_knn
P36341	P39229	0.458416	0.334755	0.524553	0.527544	0.714286	0.666667	0.5	mutual_knn
P11180	P8717	0.458415	0.343368	0.425992	0.619447	0.928571	0.666667	0.6	containment
P20248	P39563	0.458415	0.373562	0.496937	0.497175	0.666667	0.666667	0.5	mutual_knn
P41265	P43470	0.458415	0.385908	0.502595	0.51705	0.571429	0.666667	0.5	mutual_knn
P12136	P12344	0.458414	0.362266	0.464609	0.481657	0.846154	0.666667	0.6	mutual_knn
P28197	P32948	0.458414	0.373749	0.499025	0.489013	0.666667	0.666667	0.5	mutual_knn
P0435	P4907	0.458413	0.35174	0.412013	0.559256	1.0	0.714286	0.666667	containment
P1925	P3034	0.458413	0.351479	0.407636	0.575747	1.0	0.666667	0.625	containment
P23226	P39916	0.458413	0.395728	0.490159	0.516371	0.571429	0.666667	0.5	mutual_knn
P10534	P11617	0.458412	0.296174	0.543387	0.516147	0.833333	0.833333	0.6	mutual_knn
P14953	P17352	0.458412	0.401054	0.484004	0.448993	0.636364	0.75	0.666667	mutual_knn
P32393	P40842	0.458412	0.352797	0.492436	0.495229	0.777778	0.666667	0.5	mutual_knn
P29852	P37848	0.458411	0.289028	0.512746	0.488877	1.0	0.666667	0.5	mutual_knn
P42675	P44354	0.458411	0.35567	0.495228	0.450291	0.8	0.666667	0.5	mutual_knn
P15970	P16838	0.45841	0.411809	0.494992	0.498487	0.5	0.75	0.666667	mutual_knn
P2285	P6223	0.45841	0.386023	0.442685	0.605288	0.692308	0.714286	0.666667	containment
P41299	P42643	0.45841	0.323929	0.474583	0.465379	1.0	0.666667	0.5	mutual_knn
P4244	P9630	0.45841	0.394892	0.525972	0.521743	0.444444	1.0	1.0	mutual_knn
P30485	P34470	0.458409	0.347242	0.516792	0.49844	0.714286	0.666667	0.5	mutual_knn
P25875	P36222	0.458408	0.332581	0.505379	0.485304	0.833333	0.666667	0.5	mutual_knn
P33534	P44523	0.458407	0.346086	0.50924	0.494339	0.75	0.666667	0.5	mutual_knn
P28774	P45328	0.458405	0.3493	0.49249	0.510702	0.777778	0.666667	0.5	mutual_knn
P24755	P39924	0.458404	0.351983	0.477833	0.452702	0.875	0.666667	0.5	mutual_knn
P40569	P41767	0.458404	0.337857	0.485872	0.429796	0.933333	0.666667	0.5	mutual_knn
P39472	P39934	0.458403	0.377887	0.52212	0.500564	0.555556	0.666667	0.5	mutual_knn
P44302	P45277	0.458403	0.348542	0.526892	0.504803	0.666667	0.666667	0.5	mutual_knn
P1907	P8430	0.458402	0.400405	0.449256	0.566944	0.642857	0.666667	0.625	containment
P13821	P14441	0.458401	0.329969	0.408101	0.670791	1.0	0.6	0.5	mutual_knn
P17803	P9656	0.4584	0.327471	0.437067	0.580648	1.0	0.75	0.666667	mutual_knn
P37205	P42920	0.4584	0.347989	0.477701	0.471097	0.875	0.666667	0.5	mutual_knn
P41289	P42897	0.4584	0.313189	0.485267	0.476215	1.0	0.666667	0.5	mutual_knn
P31050	P33202	0.458399	0.380656	0.507424	0.470057	0.625	0.666667	0.5	mutual_knn
P5468	P7405	0.458399	0.396368	0.464968	0.439619	0.733333	0.714286	0.666667	mutual_knn
P11258	P4536	0.458398	0.332225	0.523078	0.508197	0.75	0.857143	0.666667	mutual_knn
P21821	P23372	0.458398	0.391255	0.498643	0.478082	0.6	0.666667	0.5	mutual_knn
P24302	P38435	0.458398	0.334096	0.497658	0.505414	0.833333	0.666667	0.5	mutual_knn
P33218	P37167	0.458398	0.399995	0.495841	0.548555	0.5	0.666667	0.5	mutual_knn
P11486	P11889	0.458396	0.444491	0.495466	0.516283	0.333333	0.666667	0.6	mutual_knn
P12406	P7543	0.458396	0.4085	0.484898	0.548565	0.5	0.8	0.75	mutual_knn
P26655	P38124	0.458396	0.325065	0.498096	0.52069	0.857143	0.666667	0.5	mutual_knn
P29412	P42723	0.458396	0.311393	0.500648	0.430428	1.0	0.666667	0.5	mutual_knn
P24471	P45480	0.458395	0.377848	0.49206	0.494758	0.666667	0.666667	0.5	mutual_knn
P12552	P13255	0.458394	0.390894	0.509409	0.503523	0.538462	1.0	1.0	mutual_knn
P23246	P30443	0.458394	0.339061	0.46881	0.417336	1.0	0.666667	0.5	mutual_knn
P7707	P8139	0.458394	0.344867	0.418791	0.632936	0.933333	0.666667	0.6	containment
P0293	P8133	0.458393	0.352905	0.401613	0.590205	1.0	0.714286	0.666667	containment
P27741	P40879	0.458393	0.404309	0.485636	0.509259	0.555556	0.666667	0.5	mutual_knn
P28120	P33067	0.458393	0.350284	0.491004	0.470958	0.818182	0.666667	0.5	mutual_knn
P25490	P27349	0.458392	0.347314	0.457339	0.482826	0.9375	0.666667	0.5	mutual_knn
P26726	P35279	0.458392	0.337247	0.482261	0.521252	0.857143	0.666667	0.5	mutual_knn
P24185	P34898	0.458389	0.370346	0.499104	0.470468	0.7	0.666667	0.5	mutual_knn
P2433	P2984	0.458389	0.388699	0.45269	0.460855	0.789474	0.666667	0.625	mutual_knn
P22173	P36051	0.458388	0.374881	0.49597	0.494353	0.666667	0.666667	0.5	mutual_knn
P26571	P41609	0.458387	0.372812	0.506509	0.533435	0.6	0.666667	0.5	mutual_knn
