left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C338	C731	0.34059	0.28692	0.23835	0.298666	0.95758	0.396852	0.47075	mutual_knn
C014	C092	0.34054	0.198744	0.242053	0.685518	1.0	0.434253	0.35063	mutual_knn
C087	C138	0.340524	0.268677	0.234229	0.37071	0.988454	0.398449	0.443212	mutual_knn
C707	C915	0.340522	0.32981	0.261567	0.267284	0.704187	0.494294	0.733226	mutual_knn
C502	C900	0.340392	0.253993	0.313119	0.277275	0.917328	0.50934	0.434038	mutual_knn
C635	C860	0.340127	0.340523	0.271489	0.150857	0.733333	0.428126	0.521511	mutual_knn
C294	C903	0.340072	0.297614	0.295156	0.287675	0.73951	0.479544	0.531867	mutual_knn
C201	C811	0.340047	0.281126	0.233065	0.322756	0.972892	0.398689	0.63108	mutual_knn
C152	C654	0.339875	0.306736	0.214119	0.278306	0.94441	0.378812	0.481969	mutual_knn
C090	C311	0.339744	0.225336	0.253663	0.521032	0.988733	0.466985	0.520057	mutual_knn
C027	C386	0.339705	0.268136	0.230077	0.394146	0.971991	0.390336	0.54715	mutual_knn
C602	C763	0.33945	0.245867	0.230814	0.496562	0.976162	0.38372	0.396895	mutual_knn
C158	C415	0.339358	0.299382	0.223573	0.309283	0.916667	0.428965	0.521279	mutual_knn
C184	C269	0.339012	0.241933	0.243007	0.498867	0.952568	0.392176	0.42043	mutual_knn
C763	C787	0.338886	0.243743	0.286744	0.363462	0.94645	0.448647	0.395677	mutual_knn
C629	C775	0.338884	0.24283	0.293966	0.395711	0.897085	0.539994	0.418437	mutual_knn
C783	C790	0.338825	0.291882	0.252025	0.253973	0.918796	0.431591	0.522839	mutual_knn
C498	C804	0.338735	0.240694	0.30486	0.350952	0.918342	0.497986	0.419776	mutual_knn
C601	C719	0.338453	0.280243	0.266216	0.235872	0.948796	0.431227	0.535681	mutual_knn
C391	C603	0.338406	0.271314	0.257833	0.295396	0.958597	0.452143	0.540193	mutual_knn
C318	C611	0.338318	0.28464	0.283285	0.250261	0.859869	0.46567	0.482039	mutual_knn
C240	C611	0.338306	0.293018	0.258607	0.239462	0.90269	0.41478	0.461427	mutual_knn
C226	C704	0.338226	0.264997	0.259511	0.303691	0.975049	0.487246	0.441077	mutual_knn
C259	C611	0.338224	0.288022	0.250905	0.273071	0.916342	0.41478	0.461427	mutual_knn
C287	C327	0.338195	0.257549	0.236477	0.399874	0.984903	0.431614	0.610362	mutual_knn
C613	C712	0.337978	0.261556	0.26268	0.387875	0.896081	0.432555	0.581493	mutual_knn
C054	C237	0.337921	0.222943	0.2959	0.421579	0.95521	0.487964	0.474728	mutual_knn
C696	C811	0.337749	0.291346	0.243151	0.246989	0.944316	0.419391	0.57961	mutual_knn
C091	C682	0.337526	0.260766	0.254294	0.362651	0.945902	0.412631	0.483939	mutual_knn
C660	C735	0.337439	0.217764	0.291535	0.469782	0.941182	0.455379	0.382047	mutual_knn
C217	C368	0.337396	0.281146	0.255251	0.225977	0.9765	0.426116	0.470729	mutual_knn
C404	C602	0.337386	0.259291	0.212612	0.466354	0.973215	0.384024	0.417716	mutual_knn
C164	C231	0.337284	0.250981	0.298818	0.297397	0.92408	0.462014	0.407095	mutual_knn
C132	C195	0.336985	0.274938	0.234845	0.34551	0.945111	0.387454	0.463254	mutual_knn
C629	C664	0.336925	0.22261	0.296805	0.428389	0.937399	0.523277	0.461009	mutual_knn
C834	C914	0.336918	0.277701	0.238581	0.367766	0.897165	0.392235	0.470396	mutual_knn
C815	C827	0.336911	0.270714	0.25456	0.33203	0.919834	0.418185	0.451234	mutual_knn
C726	C834	0.336887	0.269949	0.275519	0.275032	0.917532	0.43524	0.447859	mutual_knn
C277	C572	0.336761	0.284476	0.249794	0.232086	0.963754	0.407449	0.455367	mutual_knn
C307	C552	0.336738	0.275784	0.252289	0.288863	0.942731	0.40466	0.567683	mutual_knn
C134	C637	0.336663	0.275256	0.268601	0.271716	0.912828	0.495882	0.472106	mutual_knn
C288	C568	0.336561	0.295082	0.259176	0.220257	0.892416	0.42901	0.467861	mutual_knn
C210	C339	0.336549	0.244378	0.211777	0.532296	0.97597	0.354744	0.396501	mutual_knn
C068	C771	0.336512	0.225206	0.281152	0.422658	0.972973	0.483868	0.369202	mutual_knn
C298	C802	0.336486	0.239564	0.291215	0.361208	0.932183	0.453982	0.475739	mutual_knn
C188	C644	0.336437	0.281848	0.240593	0.261227	0.972128	0.425825	0.717175	mutual_knn
C192	C687	0.33638	0.271777	0.25161	0.327473	0.922613	0.486522	0.603013	mutual_knn
C329	C339	0.336298	0.270291	0.202955	0.420109	0.982547	0.338014	0.4728	mutual_knn
C035	C696	0.33627	0.276385	0.249332	0.24778	0.985005	0.455562	0.440372	mutual_knn
C150	C376	0.336191	0.267837	0.295961	0.219018	0.915824	0.456862	0.48278	mutual_knn
C870	C878	0.336134	0.299631	0.23464	0.224852	0.93441	0.443204	0.767687	mutual_knn
C186	C218	0.336117	0.272039	0.209528	0.382746	0.989646	0.369013	0.483038	mutual_knn
C033	C231	0.336018	0.247204	0.28194	0.328643	0.949698	0.545941	0.560116	mutual_knn
C787	C790	0.335867	0.303733	0.228595	0.192952	0.961269	0.38445	0.512302	mutual_knn
C523	C895	0.33561	0.254567	0.298394	0.237286	0.950799	0.525385	0.522274	mutual_knn
C180	C838	0.335554	0.297002	0.229501	0.268888	0.913142	0.383364	0.616966	mutual_knn
C732	C798	0.335542	0.270311	0.256598	0.293331	0.940745	0.421159	0.45404	mutual_knn
C535	C571	0.335378	0.229974	0.287907	0.396861	0.943328	0.463859	0.437963	mutual_knn
C373	C503	0.335213	0.247176	0.231496	0.433598	0.988165	0.416774	0.464301	mutual_knn
C632	C812	0.335086	0.312914	0.19543	0.302839	0.897164	0.346832	0.50343	mutual_knn
C068	C394	0.335019	0.217563	0.339207	0.299093	0.945662	0.555594	0.363068	mutual_knn
C662	C723	0.335008	0.274256	0.260259	0.218071	0.97995	0.421838	0.464136	mutual_knn
C291	C356	0.334999	0.279008	0.262447	0.258387	0.909225	0.444482	0.500479	mutual_knn
C274	C487	0.33488	0.199439	0.321809	0.437247	0.94893	0.517302	0.335972	mutual_knn
C045	C111	0.334695	0.286364	0.226629	0.253406	0.981833	0.392673	0.46997	mutual_knn
C059	C525	0.334687	0.267221	0.257217	0.261866	0.977245	0.420911	0.536489	mutual_knn
C395	C796	0.334627	0.268204	0.270825	0.323509	0.869261	0.456076	0.492195	mutual_knn
C549	C604	0.334502	0.268412	0.248095	0.30263	0.956044	0.402182	0.423397	mutual_knn
C178	C503	0.334379	0.245424	0.321164	0.250944	0.902233	0.487552	0.442987	mutual_knn
C350	C734	0.334363	0.289215	0.224233	0.258315	0.966536	0.39852	0.588074	mutual_knn
C403	C654	0.334318	0.28662	0.235384	0.289445	0.914476	0.413672	0.666716	mutual_knn
C213	C425	0.334295	0.260286	0.211369	0.448195	0.959224	0.354374	0.41613	mutual_knn
C828	C880	0.334183	0.301615	0.222613	0.287977	0.877939	0.375054	0.489211	mutual_knn
C802	C847	0.334066	0.215892	0.313931	0.361571	0.957841	0.526311	0.424915	mutual_knn
C095	C478	0.334061	0.282088	0.266229	0.160124	0.971359	0.427978	0.50234	mutual_knn
C493	C838	0.333842	0.313579	0.189127	0.260296	0.942847	0.319559	0.547441	mutual_knn
C178	C223	0.333826	0.232385	0.255879	0.449377	0.959317	0.476349	0.537244	mutual_knn
C593	C869	0.333679	0.287489	0.312213	0.210789	0.751921	0.51814	0.706042	mutual_knn
C847	C849	0.333476	0.259666	0.305525	0.270986	0.848875	0.505951	0.419169	mutual_knn
C177	C408	0.333473	0.235662	0.272364	0.392902	0.946429	0.458625	0.431101	mutual_knn
C239	C877	0.333392	0.263146	0.275406	0.321249	0.870727	0.544894	0.46178	mutual_knn
C273	C664	0.333311	0.278781	0.296439	0.240558	0.80933	0.461375	0.457166	mutual_knn
C167	C186	0.333176	0.283688	0.259336	0.20675	0.928557	0.440534	0.501664	mutual_knn
C263	C679	0.332727	0.272849	0.284519	0.212033	0.89744	0.465514	0.480157	mutual_knn
C796	C847	0.332652	0.242687	0.240017	0.492937	0.900103	0.393258	0.400868	mutual_knn
C101	C777	0.332622	0.299047	0.215828	0.226017	0.957488	0.380602	0.635303	mutual_knn
C041	C078	0.332609	0.223742	0.222112	0.557399	0.98365	0.371933	0.422473	mutual_knn
C121	C368	0.332593	0.260195	0.263507	0.281712	0.952719	0.426116	0.414807	mutual_knn
C062	C755	0.332436	0.253278	0.292899	0.336542	0.842732	0.45749	0.470099	mutual_knn
C501	C711	0.332432	0.292116	0.231168	0.293042	0.877197	0.427898	0.608459	mutual_knn
C462	C631	0.332416	0.262035	0.243305	0.313423	0.970648	0.403011	0.424365	mutual_knn
C417	C804	0.332162	0.277353	0.222975	0.330866	0.935066	0.377236	0.43766	mutual_knn
C612	C834	0.332133	0.288481	0.289687	0.210559	0.799305	0.454208	0.493834	mutual_knn
C876	C897	0.332078	0.328085	0.171656	0.282565	0.882822	0.296331	0.539542	mutual_knn
C095	C852	0.331995	0.24028	0.337914	0.174545	0.930261	0.523818	0.387831	mutual_knn
C266	C530	0.331739	0.258966	0.228055	0.36014	0.978258	0.405792	0.440734	mutual_knn
C508	C794	0.3317	0.247163	0.236475	0.451247	0.92051	0.442117	0.514238	mutual_knn
C618	C662	0.331552	0.264879	0.261974	0.255352	0.949852	0.426363	0.464136	mutual_knn
C796	C834	0.331545	0.222865	0.255311	0.525158	0.910032	0.423868	0.414309	mutual_knn
C215	C815	0.331369	0.252302	0.248571	0.367319	0.939149	0.40609	0.476748	mutual_knn
C564	C643	0.331228	0.24531	0.23977	0.413214	0.953206	0.419534	0.445234	mutual_knn
C123	C737	0.331223	0.271479	0.250835	0.254188	0.948139	0.405786	0.443062	mutual_knn
C449	C758	0.331188	0.253383	0.292962	0.185453	0.980629	0.512551	0.556392	mutual_knn
C060	C743	0.331095	0.244632	0.278244	0.329552	0.923506	0.445733	0.552259	mutual_knn
C244	C576	0.330948	0.259337	0.261591	0.27583	0.95219	0.434141	0.431443	mutual_knn
C215	C776	0.330654	0.264325	0.261046	0.308442	0.893333	0.422256	0.521577	mutual_knn
C485	C624	0.330619	0.243474	0.251572	0.385355	0.948744	0.425367	0.420824	mutual_knn
C609	C896	0.330561	0.270005	0.249516	0.298243	0.9088	0.402973	0.446082	mutual_knn
C059	C300	0.330357	0.262345	0.255447	0.279689	0.945814	0.408605	0.444935	mutual_knn
C442	C732	0.330292	0.260875	0.241356	0.317013	0.95746	0.439451	0.482788	mutual_knn
C372	C375	0.330134	0.198375	0.285302	0.475801	0.977754	0.489302	0.381369	mutual_knn
C496	C868	0.330132	0.224798	0.282781	0.392013	0.936975	0.454355	0.370181	mutual_knn
C394	C512	0.330081	0.21105	0.303484	0.358633	0.976471	0.476309	0.349506	mutual_knn
C038	C884	0.329987	0.287557	0.232486	0.247964	0.916667	0.415439	0.799983	mutual_knn
C128	C417	0.32997	0.223923	0.296386	0.354035	0.936894	0.530162	0.480038	mutual_knn
C105	C800	0.32993	0.261368	0.284503	0.278562	0.860383	0.499637	0.417847	mutual_knn
C421	C668	0.329902	0.210139	0.306761	0.389503	0.938542	0.509701	0.435375	mutual_knn
C480	C577	0.329767	0.247931	0.263262	0.310356	0.957876	0.451604	0.495882	mutual_knn
C672	C758	0.329736	0.251574	0.269955	0.30704	0.922586	0.450162	0.411699	mutual_knn
C609	C686	0.329711	0.214027	0.305084	0.358859	0.952861	0.470431	0.375397	mutual_knn
C523	C690	0.329687	0.245073	0.260733	0.37465	0.91465	0.503456	0.636444	mutual_knn
C044	C629	0.329644	0.230818	0.295043	0.349462	0.907755	0.475083	0.451675	mutual_knn
C221	C364	0.329494	0.272153	0.221743	0.304401	0.964547	0.386564	0.431515	mutual_knn
C123	C520	0.329426	0.280053	0.224267	0.259899	0.961293	0.399053	0.546778	mutual_knn
C317	C542	0.32923	0.279646	0.236807	0.25923	0.924416	0.387876	0.499297	mutual_knn
